
 00_vexify,     uhhh,        <Channel name: clix>,       2024-11-07 11:19:42.183827 

 00_vexify,     uuhhhh,        <Channel name: clix>,       2024-11-07 11:19:46.658952 

 00_vexify,     wtf,        <Channel name: clix>,       2024-11-07 11:19:50.513981 

 00_vexify,     ………,        <Channel name: clix>,       2024-11-07 11:19:55.000654 

 00_vexify,     wtf,        <Channel name: clix>,       2024-11-07 11:20:15.629061 

 00_vexify,     ……..,        <Channel name: clix>,       2024-11-07 11:22:18.680337 

 00_vexify,     uuhhhhh,        <Channel name: clix>,       2024-11-07 11:22:25.333494 

 00_vexify,     uhhhh,        <Channel name: clix>,       2024-11-07 11:22:26.059923 

 00_vexify,     ur ruining the video stfu,        <Channel name: clix>,       2024-11-07 11:22:31.391062 

 00_vexify,     deez nuts ha got eeeeeem,        <Channel name: clix>,       2024-11-07 11:24:01.241239 
