
 ajax2tm,     miles for president 2028,        <Channel name: kaicenat>,       2024-11-07 10:31:00.068711 

 ajax2tm,     these guys KNOCKED tf out fr,        <Channel name: kaicenat>,       2024-11-07 10:31:52.302515 

 ajax2tm,     ajax2tDam ajax2tDam ajax2tDam,        <Channel name: kaicenat>,       2024-11-07 10:33:01.744013 

 ajax2tm,     NOOOOOOOOOO,        <Channel name: kaicenat>,       2024-11-07 10:33:17.805861 

 ajax2tm,     these boys getting that quality sleep fr,        <Channel name: kaicenat>,       2024-11-07 10:33:51.602197 

 ajax2tm,     we got movement!,        <Channel name: kaicenat>,       2024-11-07 10:38:26.506712 

 ajax2tm,     HE BACK,        <Channel name: kaicenat>,       2024-11-07 10:39:29.350929 

 ajax2tm,     The wormhole took a detour through detroit,        <Channel name: kaicenat>,       2024-11-07 10:40:11.899896 

 ajax2tm,     dose those toes,        <Channel name: kaicenat>,       2024-11-07 11:24:05.566588 

 ajax2tm,     THOSE,        <Channel name: kaicenat>,       2024-11-07 11:24:16.572084 

 ajax2tm,     lmfaooooo,        <Channel name: kaicenat>,       2024-11-07 11:26:48.224743 

 ajax2tm,     lmfaoooooo,        <Channel name: kaicenat>,       2024-11-07 11:27:12.507584 

 ajax2tm,     kais face when he hears the horn of despair,        <Channel name: kaicenat>,       2024-11-07 11:29:28.458476 

 ajax2tm,     shit loud asf,        <Channel name: kaicenat>,       2024-11-07 11:31:44.039682 

 ajax2tm,     THEY REALLY WANT YALL TO WAKE UP LMFAOOO,        <Channel name: kaicenat>,       2024-11-07 11:33:27.525814 
