
 alisherht,     Em,        <Channel name: shadowkekw>,       2024-11-07 09:52:52.004591 

 alisherht,     ((,        <Channel name: shadowkekw>,       2024-11-07 09:53:05.219909 

 alisherht,     )),        <Channel name: shadowkekw>,       2024-11-07 09:53:42.100503 

 alisherht,     )),        <Channel name: shadowkekw>,       2024-11-07 09:54:16.851460 

 alisherht,     )),        <Channel name: shadowkekw>,       2024-11-07 09:55:25.919131 

 alisherht,     )),        <Channel name: shadowkekw>,       2024-11-07 09:56:46.182825 

 alisherht,     WW,        <Channel name: shadowkekw>,       2024-11-07 10:20:21.523958 

 alisherht,     OOOO,        <Channel name: shadowkekw>,       2024-11-07 10:21:26.002866 

 alisherht,     )),        <Channel name: shadowkekw>,       2024-11-07 11:40:00.212588 

 alisherht,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:44:59.231091 

 alisherht,     O,        <Channel name: shadowkekw>,       2024-11-07 11:45:32.880058 

 alisherht,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:48:44.114525 

 alisherht,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:50:09.641059 

 alisherht,     100K,        <Channel name: shadowkekw>,       2024-11-07 11:51:15.768324 

 alisherht,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:52:09.965228 

 alisherht,     ((,        <Channel name: shadowkekw>,       2024-11-07 11:54:22.661861 

 alisherht,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:54:36.774231 

 alisherht,     WW WW WW,        <Channel name: shadowkekw>,       2024-11-07 11:54:53.827582 

 alisherht,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:55:43.196811 

 alisherht,     <3 <3 <3 <3 <3 <3,        <Channel name: shadowkekw>,       2024-11-07 11:56:51.757352 

 alisherht,     ((,        <Channel name: shadowkekw>,       2024-11-07 12:00:44.834905 

 alisherht,     ((,        <Channel name: shadowkekw>,       2024-11-07 12:03:57.311137 

 alisherht,     112,        <Channel name: shadowkekw>,       2024-11-07 12:04:27.610847 

 alisherht,     )),        <Channel name: shadowkekw>,       2024-11-07 12:05:17.603909 

 alisherht,     )),        <Channel name: shadowkekw>,       2024-11-07 12:09:01.058810 

 alisherht,     ZAZA,        <Channel name: shadowkekw>,       2024-11-07 12:11:44.074892 

 alisherht,     WW,        <Channel name: shadowkekw>,       2024-11-07 12:13:26.990949 

 alisherht,     WW,        <Channel name: shadowkekw>,       2024-11-07 12:14:23.172318 

 alisherht,     WW,        <Channel name: shadowkekw>,       2024-11-07 12:20:27.210560 

 alisherht,     900,        <Channel name: shadowkekw>,       2024-11-07 12:40:21.919742 

 alisherht,     89,        <Channel name: shadowkekw>,       2024-11-07 12:40:41.064206 

 alisherht,     ((,        <Channel name: shadowkekw>,       2024-11-07 12:40:49.993670 

 alisherht,     )),        <Channel name: shadowkekw>,       2024-11-07 12:41:47.772958 

 alisherht,     ((,        <Channel name: shadowkekw>,       2024-11-07 12:43:23.667308 

 alisherht,     )),        <Channel name: shadowkekw>,       2024-11-07 12:45:16.892828 

 alisherht,     ((,        <Channel name: shadowkekw>,       2024-11-07 12:47:00.449897 

 alisherht,     bb,        <Channel name: shadowkekw>,       2024-11-07 12:47:29.506499 

 alisherht,     bb,        <Channel name: shadowkekw>,       2024-11-07 12:49:55.524377 

 alisherht,     gg,        <Channel name: shadowkekw>,       2024-11-07 12:51:24.613437 

 alisherht,     bb,        <Channel name: shadowkekw>,       2024-11-07 12:51:36.874970 

 alisherht,     gg,        <Channel name: shadowkekw>,       2024-11-07 12:51:53.084715 

 alisherht,     bb,        <Channel name: shadowkekw>,       2024-11-07 12:52:00.879360 

 alisherht,     gg,        <Channel name: shadowkekw>,       2024-11-07 12:52:28.524204 

 alisherht,     bb,        <Channel name: shadowkekw>,       2024-11-07 12:52:36.258050 

 alisherht,     gg,        <Channel name: shadowkekw>,       2024-11-07 12:53:41.288662 

 alisherht,     bb,        <Channel name: shadowkekw>,       2024-11-07 12:54:21.320609 

 alisherht,     gg,        <Channel name: shadowkekw>,       2024-11-07 12:54:27.371619 

 alisherht,     bb,        <Channel name: shadowkekw>,       2024-11-07 12:54:32.661862 

 alisherht,     gg,        <Channel name: shadowkekw>,       2024-11-07 12:54:36.939896 

 alisherht,     bb,        <Channel name: shadowkekw>,       2024-11-07 12:54:40.265076 

 alisherht,     gg,        <Channel name: shadowkekw>,       2024-11-07 12:54:47.074221 

 alisherht,     bb,        <Channel name: shadowkekw>,       2024-11-07 12:54:56.914914 

 alisherht,     gg,        <Channel name: shadowkekw>,       2024-11-07 12:55:05.954468 

 alisherht,     bb,        <Channel name: shadowkekw>,       2024-11-07 12:55:09.383969 

 alisherht,     gg,        <Channel name: shadowkekw>,       2024-11-07 12:55:10.871161 

 alisherht,     bb,        <Channel name: shadowkekw>,       2024-11-07 12:55:19.012877 

 alisherht,     gg,        <Channel name: shadowkekw>,       2024-11-07 12:55:43.175714 

 alisherht,     go,        <Channel name: shadowkekw>,       2024-11-07 12:56:49.774120 

 alisherht,     bb,        <Channel name: shadowkekw>,       2024-11-07 12:57:18.973873 
