
 alisonlafoshapitufos,     CatFinger,        <Channel name: vickypalami>,       2024-11-07 01:42:47.651149 

 alisonlafoshapitufos,     JAJAJAJA,        <Channel name: vickypalami>,       2024-11-07 01:43:00.417179 

 alisonlafoshapitufos,     mhm,        <Channel name: vickypalami>,       2024-11-07 01:43:02.572523 

 alisonlafoshapitufos,     JAJAJAJA pinche zafdey le atinaste,        <Channel name: vickypalami>,       2024-11-07 01:43:14.841308 

 alisonlafoshapitufos,     !cap com DinkDonk,        <Channel name: vickypalami>,       2024-11-07 01:43:31.482324 

 alisonlafoshapitufos,     ptm,        <Channel name: vickypalami>,       2024-11-07 01:43:34.451059 

 alisonlafoshapitufos,     aaa,        <Channel name: vickypalami>,       2024-11-07 01:43:36.588196 

 alisonlafoshapitufos,     !ruleta si muero son jotos todos mhm,        <Channel name: vickypalami>,       2024-11-07 01:44:19.578521 

 alisonlafoshapitufos,     AAAA,        <Channel name: vickypalami>,       2024-11-07 01:44:58.136143 

 alisonlafoshapitufos,     AAAA NO ME MIEN AAAA,        <Channel name: vickypalami>,       2024-11-07 01:45:11.203240 

 alisonlafoshapitufos,     hesGay,        <Channel name: vickypalami>,       2024-11-07 01:48:09.883734 

 alisonlafoshapitufos,     mhm,        <Channel name: vickypalami>,       2024-11-07 01:48:16.591788 

 alisonlafoshapitufos,     hesGay,        <Channel name: vickypalami>,       2024-11-07 01:48:22.093848 

 alisonlafoshapitufos,     mhm,        <Channel name: vickypalami>,       2024-11-07 01:48:25.446202 

 alisonlafoshapitufos,     hesGay,        <Channel name: vickypalami>,       2024-11-07 01:48:29.643534 

 alisonlafoshapitufos,     mhm,        <Channel name: vickypalami>,       2024-11-07 01:48:32.684799 

 alisonlafoshapitufos,     hesGay,        <Channel name: vickypalami>,       2024-11-07 01:48:36.342360 

 alisonlafoshapitufos,     pym,        <Channel name: vickypalami>,       2024-11-07 01:48:38.891635 

 alisonlafoshapitufos,     ptm,        <Channel name: vickypalami>,       2024-11-07 01:48:41.410817 

 alisonlafoshapitufos,     JAJAJAJA,        <Channel name: vickypalami>,       2024-11-07 01:48:46.869034 

 alisonlafoshapitufos,     yaya es el sueño,        <Channel name: vickypalami>,       2024-11-07 01:49:10.206182 

 alisonlafoshapitufos,     yep,        <Channel name: vickypalami>,       2024-11-07 01:49:28.947718 

 alisonlafoshapitufos,     yaya descansen mamá huevos peepoBye,        <Channel name: vickypalami>,       2024-11-07 01:50:27.787910 

 alisonlafoshapitufos,     hesGay,        <Channel name: vickypalami>,       2024-11-07 01:51:00.285385 

 alisonlafoshapitufos,     !vanish,        <Channel name: vickypalami>,       2024-11-07 01:52:08.673673 

 alisonlafoshapitufos,     !frente,        <Channel name: vickypalami>,       2024-11-07 01:52:28.017092 

 alisonlafoshapitufos,     Sadge,        <Channel name: vickypalami>,       2024-11-07 01:54:36.038991 
