
 andreaseleazar,     !time,        <Channel name: kaicenat>,       2024-11-07 10:01:45.241315 

 andreaseleazar,     FREE MILES FREE MILES FREE MILES,        <Channel name: kaicenat>,       2024-11-07 11:20:38.011443 

 andreaseleazar,     FREE MILES,        <Channel name: kaicenat>,       2024-11-07 11:20:45.709364 

 andreaseleazar,     JAHAHAHAHAHHA,        <Channel name: kaicenat>,       2024-11-07 11:25:14.722429 

 andreaseleazar,     WW SHADOW,        <Channel name: kaicenat>,       2024-11-07 11:25:28.277175 

 andreaseleazar,     !time,        <Channel name: kaicenat>,       2024-11-07 11:26:54.113451 

 andreaseleazar,     HAHAHAHAHAHAH,        <Channel name: kaicenat>,       2024-11-07 11:28:12.862544 

 andreaseleazar,     WAKE UPPPPPPPP,        <Channel name: kaicenat>,       2024-11-07 11:29:06.612835 

 andreaseleazar,     WAKE YO ASS UP,        <Channel name: kaicenat>,       2024-11-07 11:29:37.189800 
