
 angela_younan,     33,        <Channel name: kaicenat>,       2024-11-07 02:01:02.492933 

 angela_younan,     50,        <Channel name: kaicenat>,       2024-11-07 02:02:41.848436 

 angela_younan,     61,        <Channel name: kaicenat>,       2024-11-07 02:03:51.346252 

 angela_younan,     69,        <Channel name: kaicenat>,       2024-11-07 02:04:40.351008 

 angela_younan,     69!!!!!!,        <Channel name: kaicenat>,       2024-11-07 02:05:33.901079 

 angela_younan,     69!!,        <Channel name: kaicenat>,       2024-11-07 02:05:41.184136 

 angela_younan,     69!!!,        <Channel name: kaicenat>,       2024-11-07 02:05:45.824076 

 angela_younan,     83,        <Channel name: kaicenat>,       2024-11-07 02:07:07.472586 

 angela_younan,     Wwww,        <Channel name: kaicenat>,       2024-11-07 02:08:54.331015 

 angela_younan,     WWWWwwWww,        <Channel name: kaicenat>,       2024-11-07 02:09:02.491668 

 angela_younan,     you’re not fat,        <Channel name: kaicenat>,       2024-11-07 02:11:15.825562 

 angela_younan,     CAPPP,        <Channel name: kaicenat>,       2024-11-07 02:46:58.468646 

 angela_younan,     CAPPP CAPP CAPPP,        <Channel name: kaicenat>,       2024-11-07 02:47:01.716875 

 angela_younan,     CAP CAP CAP CAP,        <Channel name: kaicenat>,       2024-11-07 02:47:06.870775 

 angela_younan,     SILKY IS CAPPING,        <Channel name: kaicenat>,       2024-11-07 02:47:17.771446 

 angela_younan,     !watchtime,        <Channel name: kaicenat>,       2024-11-07 11:27:37.761802 
