
 arekusei47,     Japan,        <Channel name: shadowkekw>,       2024-11-07 10:32:36.107076 

 arekusei47,     Russia,        <Channel name: shadowkekw>,       2024-11-07 10:32:47.741341 

 arekusei47,     New zeland,        <Channel name: shadowkekw>,       2024-11-07 10:32:55.822621 

 arekusei47,     USA,        <Channel name: shadowkekw>,       2024-11-07 10:33:24.685948 

 arekusei47,     USA,        <Channel name: shadowkekw>,       2024-11-07 10:34:44.007225 

 arekusei47,     RUSSIA,        <Channel name: shadowkekw>,       2024-11-07 10:34:46.926563 

 arekusei47,     Usa,        <Channel name: shadowkekw>,       2024-11-07 10:34:51.520669 

 arekusei47,     Russia,        <Channel name: shadowkekw>,       2024-11-07 10:35:10.785388 

 arekusei47,     Pery,        <Channel name: shadowkekw>,       2024-11-07 10:35:13.548060 

 arekusei47,     New zeland,        <Channel name: shadowkekw>,       2024-11-07 10:35:23.735866 

 arekusei47,     Nigeria,        <Channel name: shadowkekw>,       2024-11-07 10:35:29.144271 

 arekusei47,     112,        <Channel name: shadowkekw>,       2024-11-07 10:35:52.250651 

 arekusei47,     Serbia,        <Channel name: shadowkekw>,       2024-11-07 10:36:47.252060 

 arekusei47,     Israil,        <Channel name: shadowkekw>,       2024-11-07 10:37:13.175261 

 arekusei47,     Russia,        <Channel name: shadowkekw>,       2024-11-07 10:37:22.099310 

 arekusei47,     Usa,        <Channel name: shadowkekw>,       2024-11-07 10:37:31.465466 

 arekusei47,     Russia,        <Channel name: shadowkekw>,       2024-11-07 10:37:36.639539 

 arekusei47,     Nigeria,        <Channel name: shadowkekw>,       2024-11-07 10:37:49.240795 

 arekusei47,     Ykraina,        <Channel name: shadowkekw>,       2024-11-07 10:37:55.240976 

 arekusei47,     Pery,        <Channel name: shadowkekw>,       2024-11-07 10:38:06.338072 

 arekusei47,     New Zeland,        <Channel name: shadowkekw>,       2024-11-07 10:38:10.956687 

 arekusei47,     Polish,        <Channel name: shadowkekw>,       2024-11-07 10:38:21.636168 

 arekusei47,     Usa,        <Channel name: shadowkekw>,       2024-11-07 10:38:31.247340 

 arekusei47,     Nigeria,        <Channel name: shadowkekw>,       2024-11-07 10:39:00.794666 

 arekusei47,     Usa,        <Channel name: shadowkekw>,       2024-11-07 10:39:13.755569 

 arekusei47,     Russia,        <Channel name: shadowkekw>,       2024-11-07 10:39:24.294842 

 arekusei47,     Itaty,        <Channel name: shadowkekw>,       2024-11-07 10:39:28.918819 

 arekusei47,     Russia,        <Channel name: shadowkekw>,       2024-11-07 10:39:30.638896 

 arekusei47,     Malta,        <Channel name: shadowkekw>,       2024-11-07 10:39:38.602162 

 arekusei47,     Lithuania,        <Channel name: shadowkekw>,       2024-11-07 10:40:13.974062 

 arekusei47,     USA,        <Channel name: shadowkekw>,       2024-11-07 10:40:21.051114 

 arekusei47,     China,        <Channel name: shadowkekw>,       2024-11-07 10:40:26.629846 

 arekusei47,     Pgilippines,        <Channel name: shadowkekw>,       2024-11-07 10:40:36.172006 

 arekusei47,     Pery,        <Channel name: shadowkekw>,       2024-11-07 10:40:47.530500 

 arekusei47,     Russia,        <Channel name: shadowkekw>,       2024-11-07 10:41:02.510314 

 arekusei47,     japan,        <Channel name: shadowkekw>,       2024-11-07 10:41:07.262834 

 arekusei47,     Thailand,        <Channel name: shadowkekw>,       2024-11-07 10:41:17.549634 

 arekusei47,     Argentina,        <Channel name: shadowkekw>,       2024-11-07 10:41:39.068226 

 arekusei47,     Itay,        <Channel name: shadowkekw>,       2024-11-07 10:42:15.429715 

 arekusei47,     Russia,        <Channel name: shadowkekw>,       2024-11-07 10:42:25.881925 

 arekusei47,     hyeta,        <Channel name: shadowkekw>,       2024-11-07 10:42:41.032109 

 arekusei47,     Russia,        <Channel name: shadowkekw>,       2024-11-07 10:42:49.932943 

 arekusei47,     Japan,        <Channel name: shadowkekw>,       2024-11-07 10:43:07.245051 

 arekusei47,     Lexembourd,        <Channel name: shadowkekw>,       2024-11-07 10:43:19.004337 

 arekusei47,     Tailand,        <Channel name: shadowkekw>,       2024-11-07 10:43:36.328296 

 arekusei47,     Russia,        <Channel name: shadowkekw>,       2024-11-07 10:43:42.831965 

 arekusei47,     Uruguay,        <Channel name: shadowkekw>,       2024-11-07 10:43:51.005521 

 arekusei47,     sOUTH aFRICA,        <Channel name: shadowkekw>,       2024-11-07 10:44:15.020346 

 arekusei47,     China,        <Channel name: shadowkekw>,       2024-11-07 10:44:25.842853 

 arekusei47,     Hong kong,        <Channel name: shadowkekw>,       2024-11-07 10:44:38.688824 

 arekusei47,     Kazaftan,        <Channel name: shadowkekw>,       2024-11-07 10:44:58.512217 
