
 atupoyooo,     miles look tired,        <Channel name: kaicenat>,       2024-11-07 10:54:48.256743 

 atupoyooo,     free miles,        <Channel name: kaicenat>,       2024-11-07 10:55:16.674098 

 atupoyooo,     free bro,        <Channel name: kaicenat>,       2024-11-07 10:55:34.074180 

 atupoyooo,     free bro,        <Channel name: kaicenat>,       2024-11-07 10:56:23.120833 

 atupoyooo,     www miles,        <Channel name: kaicenat>,       2024-11-07 10:56:44.854716 

 atupoyooo,     w miles,        <Channel name: kaicenat>,       2024-11-07 10:56:50.967894 

 atupoyooo,     w miles,        <Channel name: kaicenat>,       2024-11-07 10:57:27.144664 

 atupoyooo,     ayyy yo,        <Channel name: kaicenat>,       2024-11-07 11:00:09.715838 

 atupoyooo,     gift me please,        <Channel name: kaicenat>,       2024-11-07 11:04:52.325691 

 atupoyooo,     miles is thirsty,        <Channel name: kaicenat>,       2024-11-07 11:05:14.474958 

 atupoyooo,     w miles,        <Channel name: kaicenat>,       2024-11-07 11:05:59.688988 

 atupoyooo,     where the earthquake at,        <Channel name: kaicenat>,       2024-11-07 11:06:18.952850 

 atupoyooo,     yeasssssss,        <Channel name: kaicenat>,       2024-11-07 11:06:48.334060 

 atupoyooo,     doooooo ittttttt,        <Channel name: kaicenat>,       2024-11-07 11:07:07.512031 

 atupoyooo,     lollll,        <Channel name: kaicenat>,       2024-11-07 11:07:26.030035 

 atupoyooo,     Kai is dead,        <Channel name: kaicenat>,       2024-11-07 11:07:58.335850 

 atupoyooo,     miles is tired,        <Channel name: kaicenat>,       2024-11-07 11:08:44.860748 

 atupoyooo,     free miles,        <Channel name: kaicenat>,       2024-11-07 11:08:52.742290 

 atupoyooo,     freeeee miles,        <Channel name: kaicenat>,       2024-11-07 11:09:06.002085 

 atupoyooo,     in his ear,        <Channel name: kaicenat>,       2024-11-07 11:09:39.057768 

 atupoyooo,     no dooo it,        <Channel name: kaicenat>,       2024-11-07 11:10:04.107076 

 atupoyooo,     do itttt,        <Channel name: kaicenat>,       2024-11-07 11:10:15.820986 

 atupoyooo,     wake Kai uppppp,        <Channel name: kaicenat>,       2024-11-07 11:10:34.910049 

 atupoyooo,     please blow the horn into his ears,        <Channel name: kaicenat>,       2024-11-07 11:12:16.967179 

 atupoyooo,     I think u deserve a rest miles,        <Channel name: kaicenat>,       2024-11-07 11:12:38.414026 

 atupoyooo,     yessss Kai moved,        <Channel name: kaicenat>,       2024-11-07 11:14:21.109324 

 atupoyooo,     wake up kaiiii,        <Channel name: kaicenat>,       2024-11-07 11:14:41.922586 

 atupoyooo,     w miles,        <Channel name: kaicenat>,       2024-11-07 11:14:50.741686 

 atupoyooo,     w miles,        <Channel name: kaicenat>,       2024-11-07 11:15:36.435141 

 atupoyooo,     wake up Kai,        <Channel name: kaicenat>,       2024-11-07 11:15:55.735717 

 atupoyooo,     wake him up miles,        <Channel name: kaicenat>,       2024-11-07 11:16:02.750713 

 atupoyooo,     wake him up,        <Channel name: kaicenat>,       2024-11-07 11:16:06.903385 

