
 austinthedadgamer,     Still sleepin,        <Channel name: nadeshot>,       2024-11-07 09:18:27.401771 

 austinthedadgamer,     Oh my goodness. I got got out of a meeting and he is still asleep!,        <Channel name: nadeshot>,       2024-11-07 11:21:39.346991 

 austinthedadgamer,     nadeW nadeW nadeW,        <Channel name: nadeshot>,       2024-11-07 11:22:16.663597 

 austinthedadgamer,     Good morning sir!,        <Channel name: nadeshot>,       2024-11-07 11:45:39.519294 

 austinthedadgamer,     500,        <Channel name: nadeshot>,       2024-11-07 12:36:18.985934 

 austinthedadgamer,     Full,        <Channel name: nadeshot>,       2024-11-07 12:43:12.874994 

 austinthedadgamer,     nadeHaley nadeHaley nadeHaley nadeHaley nadeHaley,        <Channel name: nadeshot>,       2024-11-07 12:44:13.562674 

 austinthedadgamer,     Wwwww,        <Channel name: nadeshot>,       2024-11-07 13:08:16.558395 

 austinthedadgamer,     Sym said you are SUB,        <Channel name: nadeshot>,       2024-11-07 13:26:51.243912 

 austinthedadgamer,     nadeMeat nadeMeat nadeMeat,        <Channel name: nadeshot>,       2024-11-07 13:34:01.881952 
