
 b0s_77,     38,        <Channel name: shadowkekw>,       2024-11-07 09:03:10.202179 

 b0s_77,     WW,        <Channel name: shadowkekw>,       2024-11-07 09:03:21.114840 

 b0s_77,     )),        <Channel name: shadowkekw>,       2024-11-07 09:04:03.569726 

 b0s_77,     WW,        <Channel name: shadowkekw>,       2024-11-07 09:04:15.462402 

 b0s_77,     WW,        <Channel name: shadowkekw>,       2024-11-07 09:05:04.751186 

 b0s_77,     WW,        <Channel name: shadowkekw>,       2024-11-07 09:05:55.763543 

 b0s_77,     112,        <Channel name: shadowkekw>,       2024-11-07 09:06:17.678459 

 b0s_77,     and,        <Channel name: shadowkekw>,       2024-11-07 09:07:00.170757 

 b0s_77,     2020,        <Channel name: shadowkekw>,       2024-11-07 09:07:06.793945 

 b0s_77,     WW,        <Channel name: shadowkekw>,       2024-11-07 09:07:18.229518 

 b0s_77,     WWW,        <Channel name: shadowkekw>,       2024-11-07 09:07:30.967284 

 b0s_77,     WW,        <Channel name: shadowkekw>,       2024-11-07 09:07:37.038979 

 b0s_77,     WW,        <Channel name: shadowkekw>,       2024-11-07 09:08:25.611556 

 b0s_77,     WW,        <Channel name: shadowkekw>,       2024-11-07 09:08:56.640911 

 b0s_77,     ej,        <Channel name: shadowkekw>,       2024-11-07 09:10:33.069542 

 b0s_77,     900,        <Channel name: shadowkekw>,       2024-11-07 09:10:49.911717 

 b0s_77,     WW,        <Channel name: shadowkekw>,       2024-11-07 09:11:40.696607 

 b0s_77,     )),        <Channel name: shadowkekw>,       2024-11-07 09:11:56.724791 

 b0s_77,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:35:39.310691 

 b0s_77,     )),        <Channel name: shadowkekw>,       2024-11-07 11:36:14.702872 

 b0s_77,     )),        <Channel name: shadowkekw>,       2024-11-07 11:38:54.151189 

 b0s_77,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:39:12.809050 

 b0s_77,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:43:00.531155 

 b0s_77,     hi,        <Channel name: shadowkekw>,       2024-11-07 11:43:08.323251 

 b0s_77,     )),        <Channel name: shadowkekw>,       2024-11-07 11:43:24.505474 

 b0s_77,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:44:52.381995 

 b0s_77,     )),        <Channel name: shadowkekw>,       2024-11-07 11:45:34.357184 

 b0s_77,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:47:43.476341 

 b0s_77,     and,        <Channel name: shadowkekw>,       2024-11-07 11:48:56.835484 

 b0s_77,     <3 <3 <3 <3 <3,        <Channel name: shadowkekw>,       2024-11-07 11:56:33.606219 

 b0s_77,     <3,        <Channel name: shadowkekw>,       2024-11-07 11:56:45.019102 

 b0s_77,     )),        <Channel name: shadowkekw>,       2024-11-07 11:59:37.252771 

 b0s_77,     ((,        <Channel name: shadowkekw>,       2024-11-07 12:00:39.105560 

 b0s_77,     <3,        <Channel name: shadowkekw>,       2024-11-07 12:00:58.211901 

 b0s_77,     WW,        <Channel name: shadowkekw>,       2024-11-07 12:01:54.253291 

 b0s_77,     <3,        <Channel name: shadowkekw>,       2024-11-07 12:02:31.476989 

 b0s_77,     LUL LUL,        <Channel name: shadowkekw>,       2024-11-07 12:03:46.857908 

 b0s_77,     )),        <Channel name: shadowkekw>,       2024-11-07 12:05:24.007702 

 b0s_77,     ))),        <Channel name: shadowkekw>,       2024-11-07 12:05:53.668358 

 b0s_77,     28,        <Channel name: shadowkekw>,       2024-11-07 12:05:59.609906 

 b0s_77,     )),        <Channel name: shadowkekw>,       2024-11-07 12:06:49.864608 

 b0s_77,     WW,        <Channel name: shadowkekw>,       2024-11-07 12:07:10.584200 

 b0s_77,     WW,        <Channel name: shadowkekw>,       2024-11-07 12:08:08.217352 

 b0s_77,     )),        <Channel name: shadowkekw>,       2024-11-07 12:08:25.538777 

 b0s_77,     WW,        <Channel name: shadowkekw>,       2024-11-07 12:13:24.076228 

 b0s_77,     Em,        <Channel name: shadowkekw>,       2024-11-07 12:15:03.690494 

 b0s_77,     WW,        <Channel name: shadowkekw>,       2024-11-07 12:16:10.974445 

 b0s_77,     )),        <Channel name: shadowkekw>,       2024-11-07 12:16:33.118064 

 b0s_77,     ((,        <Channel name: shadowkekw>,       2024-11-07 12:17:33.833560 

 b0s_77,     )),        <Channel name: shadowkekw>,       2024-11-07 12:18:40.944679 

 b0s_77,     LUL LUL,        <Channel name: shadowkekw>,       2024-11-07 12:19:03.263731 

 b0s_77,     WW,        <Channel name: shadowkekw>,       2024-11-07 12:20:28.291703 

 b0s_77,     ej,        <Channel name: shadowkekw>,       2024-11-07 12:21:12.124624 

 b0s_77,     )),        <Channel name: shadowkekw>,       2024-11-07 12:33:10.893698 

 b0s_77,     )),        <Channel name: shadowkekw>,       2024-11-07 12:37:57.434261 

 b0s_77,     )),        <Channel name: shadowkekw>,       2024-11-07 12:39:46.659741 

 b0s_77,     900,        <Channel name: shadowkekw>,       2024-11-07 12:40:08.298498 

 b0s_77,     89,        <Channel name: shadowkekw>,       2024-11-07 12:40:29.212451 

 b0s_77,     )),        <Channel name: shadowkekw>,       2024-11-07 12:41:22.260558 

 b0s_77,     ))),        <Channel name: shadowkekw>,       2024-11-07 12:41:52.626996 
