
 balleps,     )),        <Channel name: shadowkekw>,       2024-11-07 09:54:37.833631 

 balleps,     )) )),        <Channel name: shadowkekw>,       2024-11-07 09:54:40.542436 

 balleps,     hi,        <Channel name: shadowkekw>,       2024-11-07 09:55:33.781505 

 balleps,     fm,        <Channel name: shadowkekw>,       2024-11-07 09:55:54.952853 

 balleps,     Em,        <Channel name: shadowkekw>,       2024-11-07 09:57:50.817428 

 balleps,     fact,        <Channel name: shadowkekw>,       2024-11-07 11:00:00.273163 

 balleps,     900,        <Channel name: shadowkekw>,       2024-11-07 11:00:37.495761 

 balleps,     )),        <Channel name: shadowkekw>,       2024-11-07 11:04:21.174233 

 balleps,     )),        <Channel name: shadowkekw>,       2024-11-07 11:15:53.198399 

 balleps,     hz,        <Channel name: shadowkekw>,       2024-11-07 11:16:01.480206 

 balleps,     )),        <Channel name: shadowkekw>,       2024-11-07 11:17:34.392254 

 balleps,     ((,        <Channel name: shadowkekw>,       2024-11-07 11:18:18.617974 

 balleps,     -rep,        <Channel name: shadowkekw>,       2024-11-07 11:18:22.469752 

 balleps,     )),        <Channel name: shadowkekw>,       2024-11-07 11:21:43.799844 

 balleps,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:21:58.585353 

 balleps,     WW WW WW,        <Channel name: shadowkekw>,       2024-11-07 11:22:01.301230 

 balleps,     )),        <Channel name: shadowkekw>,       2024-11-07 11:22:04.042407 

 balleps,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:22:13.550064 

 balleps,     WW WW,        <Channel name: shadowkekw>,       2024-11-07 11:22:14.484578 

 balleps,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:22:15.561938 

 balleps,     WW WW WW,        <Channel name: shadowkekw>,       2024-11-07 11:22:17.786958 

 balleps,     )),        <Channel name: shadowkekw>,       2024-11-07 11:22:25.230214 

 balleps,     ((,        <Channel name: shadowkekw>,       2024-11-07 11:22:31.831847 

 balleps,     (( -rep,        <Channel name: shadowkekw>,       2024-11-07 11:22:36.567390 

 balleps,     -rep ((,        <Channel name: shadowkekw>,       2024-11-07 11:22:41.722312 

 balleps,     ((,        <Channel name: shadowkekw>,       2024-11-07 11:22:50.403576 

 balleps,     (( ((,        <Channel name: shadowkekw>,       2024-11-07 11:22:52.813546 

 balleps,     ((,        <Channel name: shadowkekw>,       2024-11-07 11:23:00.143602 

 balleps,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:23:09.564515 

 balleps,     )),        <Channel name: shadowkekw>,       2024-11-07 11:23:28.823740 

 balleps,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:23:30.008679 

 balleps,     0_0,        <Channel name: shadowkekw>,       2024-11-07 11:23:55.420424 

 balleps,     )),        <Channel name: shadowkekw>,       2024-11-07 11:24:00.605479 

 balleps,     )),        <Channel name: shadowkekw>,       2024-11-07 11:24:08.353378 

 balleps,     zaza,        <Channel name: shadowkekw>,       2024-11-07 11:24:13.346258 

 balleps,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:24:24.390339 

 balleps,     )),        <Channel name: shadowkekw>,       2024-11-07 11:24:27.793240 

 balleps,     )) )),        <Channel name: shadowkekw>,       2024-11-07 11:24:33.180958 

 balleps,     SVIN,        <Channel name: shadowkekw>,       2024-11-07 11:24:42.423388 

 balleps,     svin,        <Channel name: shadowkekw>,       2024-11-07 11:24:44.130678 

 balleps,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:24:58.609712 

 balleps,     WW WW,        <Channel name: shadowkekw>,       2024-11-07 11:25:08.116504 

 balleps,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:25:09.881736 

 balleps,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:25:25.614601 

 balleps,     SHADOW WW,        <Channel name: shadowkekw>,       2024-11-07 11:25:41.874226 

 balleps,     )),        <Channel name: shadowkekw>,       2024-11-07 11:26:16.817099 

 balleps,     WW WW,        <Channel name: shadowkekw>,       2024-11-07 11:26:19.506960 

 balleps,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:26:37.061695 

 balleps,     )),        <Channel name: shadowkekw>,       2024-11-07 11:26:43.456953 

 balleps,     )),        <Channel name: shadowkekw>,       2024-11-07 11:27:03.248275 

 balleps,     uwu,        <Channel name: shadowkekw>,       2024-11-07 11:27:15.877010 

 balleps,     )),        <Channel name: shadowkekw>,       2024-11-07 11:27:33.904661 

 balleps,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:27:55.478392 

 balleps,     WW WW,        <Channel name: shadowkekw>,       2024-11-07 11:27:59.257663 

 balleps,     SHADOW WW,        <Channel name: shadowkekw>,       2024-11-07 11:28:03.935771 

 balleps,     SHADOW WW,        <Channel name: shadowkekw>,       2024-11-07 11:28:27.854650 

 balleps,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:28:55.168973 

 balleps,     WW WW WW,        <Channel name: shadowkekw>,       2024-11-07 11:29:05.628300 

 balleps,     )),        <Channel name: shadowkekw>,       2024-11-07 11:29:12.880756 

 balleps,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:29:16.332515 

 balleps,     SHADOW WW,        <Channel name: shadowkekw>,       2024-11-07 11:29:25.814402 

 balleps,     WW SHADOW,        <Channel name: shadowkekw>,       2024-11-07 11:29:43.892739 

 balleps,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:31:22.690197 

 balleps,     WW WW,        <Channel name: shadowkekw>,       2024-11-07 11:31:53.154508 

 balleps,     )),        <Channel name: shadowkekw>,       2024-11-07 11:32:08.703757 

 balleps,     SHADOW WW,        <Channel name: shadowkekw>,       2024-11-07 11:32:19.738972 

 balleps,     )),        <Channel name: shadowkekw>,       2024-11-07 11:32:24.563138 

 balleps,     )) )),        <Channel name: shadowkekw>,       2024-11-07 11:32:30.137556 

 balleps,     )),        <Channel name: shadowkekw>,       2024-11-07 11:32:53.111062 

 balleps,     )),        <Channel name: shadowkekw>,       2024-11-07 11:40:29.473877 

 balleps,     )),        <Channel name: shadowkekw>,       2024-11-07 11:40:49.035405 

 balleps,     )) )),        <Channel name: shadowkekw>,       2024-11-07 11:41:09.269626 

 balleps,     )),        <Channel name: shadowkekw>,       2024-11-07 11:42:29.258690 

 balleps,     )),        <Channel name: shadowkekw>,       2024-11-07 11:46:49.204211 

 balleps,     )),        <Channel name: shadowkekw>,       2024-11-07 11:55:52.098798 

 balleps,     HELLO,        <Channel name: shadowkekw>,       2024-11-07 11:56:04.966572 

 balleps,     <3,        <Channel name: shadowkekw>,       2024-11-07 11:56:42.615457 
