
 bankroll_kelvin,     w,        <Channel name: kaicenat>,       2024-11-07 02:14:14.505891 

 bankroll_kelvin,     WWW,        <Channel name: kaicenat>,       2024-11-07 02:14:24.306026 

 bankroll_kelvin,     MUDDYYYY,        <Channel name: kaicenat>,       2024-11-07 02:14:36.275206 

 bankroll_kelvin,     kaicENAT,        <Channel name: kaicenat>,       2024-11-07 02:17:18.154868 

 bankroll_kelvin,     kaicSturdyy kaicGimmiegold kaicNaenae kaicSturdyy kaicSturdyy kaicSturdyy kaicSturdyy kaicSturdyy,        <Channel name: kaicenat>,       2024-11-07 02:17:35.011853 

 bankroll_kelvin,     kaicSHOOK kaicSHOOK kaicSHOOK kaicSHOOK kaicSHOOK kaicSHOOK kaicSHOOK kaicSHOOK,        <Channel name: kaicenat>,       2024-11-07 02:21:12.747193 

 bankroll_kelvin,     kaicSHOOK kaicSHOOK,        <Channel name: kaicenat>,       2024-11-07 02:21:17.539358 

 bankroll_kelvin,     always doing too much,        <Channel name: kaicenat>,       2024-11-07 02:21:39.504942 

 bankroll_kelvin,     mmmmmm,        <Channel name: kaicenat>,       2024-11-07 02:21:58.703672 

 bankroll_kelvin,     mmmm,        <Channel name: kaicenat>,       2024-11-07 02:22:02.545573 

 bankroll_kelvin,     L tjay,        <Channel name: kaicenat>,       2024-11-07 02:48:51.022695 

 bankroll_kelvin,     what is phrase #285,        <Channel name: kaicenat>,       2024-11-07 02:53:43.119172 
