
 bigcheese1177,     SO TUFFFFF,        <Channel name: plaqueboymax>,       2024-11-07 01:42:47.894098 

 bigcheese1177,     WWWWWW,        <Channel name: plaqueboymax>,       2024-11-07 01:57:25.695248 

 bigcheese1177,     WWWWWWWWWW,        <Channel name: plaqueboymax>,       2024-11-07 01:57:32.086682 

 bigcheese1177,     LITTTT ASFFFFFF,        <Channel name: plaqueboymax>,       2024-11-07 01:57:57.212760 

 bigcheese1177,     THAT SHIT WAS SOOOO HARD,        <Channel name: plaqueboymax>,       2024-11-07 01:58:10.213887 

 bigcheese1177,     WWWWW ASS SONG,        <Channel name: plaqueboymax>,       2024-11-07 01:58:31.677146 

 bigcheese1177,     THAT SONG WAS SO GOOD,        <Channel name: plaqueboymax>,       2024-11-07 01:58:46.816537 

 bigcheese1177,     WWWWWWWWWWWW,        <Channel name: plaqueboymax>,       2024-11-07 01:58:57.652348 

 bigcheese1177,     DRILL,        <Channel name: plaqueboymax>,       2024-11-07 01:59:20.739957 

 bigcheese1177,     DRILLLLLL,        <Channel name: plaqueboymax>,       2024-11-07 01:59:29.101822 

 bigcheese1177,     DTM,        <Channel name: plaqueboymax>,       2024-11-07 02:00:24.206238 

 bigcheese1177,     DTMMM,        <Channel name: plaqueboymax>,       2024-11-07 02:00:35.423392 

 bigcheese1177,     DRILLL,        <Channel name: plaqueboymax>,       2024-11-07 02:07:06.254749 

 bigcheese1177,     adapt,        <Channel name: silky>,       2024-11-07 02:10:42.150075 

 bigcheese1177,     KAIII,        <Channel name: silky>,       2024-11-07 02:12:12.713244 

 bigcheese1177,     KAI ASKING 4 u GANGY,        <Channel name: silky>,       2024-11-07 02:12:29.670533 

 bigcheese1177,     KEKRKRKRKRKRKRKRK,        <Channel name: silky>,       2024-11-07 02:15:02.719864 
