
 bigdawggduly,     bruh fininsh the song,        <Channel name: silky>,       2024-11-07 01:39:36.985636 

 bigdawggduly,     llssssss,        <Channel name: silky>,       2024-11-07 01:39:44.613253 

 bigdawggduly,     you and iiiiiiiiiii,        <Channel name: silky>,       2024-11-07 01:39:56.819298 

 bigdawggduly,     shoulda never tusted her,        <Channel name: silky>,       2024-11-07 01:40:08.226192 

 bigdawggduly,     ngl shit asss bro,        <Channel name: silky>,       2024-11-07 01:40:44.197851 

 bigdawggduly,     but i fw u though,        <Channel name: silky>,       2024-11-07 01:40:57.521219 

 bigdawggduly,     shit just ass,        <Channel name: silky>,       2024-11-07 01:41:03.574691 

 bigdawggduly,     ok,        <Channel name: silky>,       2024-11-07 01:41:50.530372 

 bigdawggduly,     okkkkkkkkkkkkk,        <Channel name: silky>,       2024-11-07 01:42:00.227139 

 bigdawggduly,     other dude like that,        <Channel name: silky>,       2024-11-07 01:43:20.738672 

 bigdawggduly,     mmmmmmmmmmmm,        <Channel name: silky>,       2024-11-07 01:43:37.199534 

 bigdawggduly,     shit jah crank,        <Channel name: silky>,       2024-11-07 01:50:41.487853 
