
 bigmontie,     DIS FAT ASS,        <Channel name: lacy>,       2024-11-07 11:31:38.605325 

 bigmontie,     ALWAYS,        <Channel name: lacy>,       2024-11-07 11:31:41.110085 

 bigmontie,     @Lacy GET BACK TO TEXTING D U BOZO,        <Channel name: lacy>,       2024-11-07 11:33:07.197846 

 bigmontie,     @Lacy WE KNEW IT UR A CUCK,        <Channel name: lacy>,       2024-11-07 11:34:11.275921 

 bigmontie,     LINK UP WITH JACK GENTRY SO HE CAN HELP U LOSE WEIGHT @Lacy,        <Channel name: lacy>,       2024-11-07 11:34:21.142156 

 bigmontie,     @gt_logic_chief FAX,        <Channel name: lacy>,       2024-11-07 11:34:39.330285 

 bigmontie,     WE WANT A ANNA JACK GENTRY STREAM,        <Channel name: lacy>,       2024-11-07 11:34:48.927191 

 bigmontie,     WOW NEON TO LACY YIKES,        <Channel name: lacy>,       2024-11-07 11:36:09.776435 

 bigmontie,     CRAZY EVEN N3ON DOESNT GET USED AS MUCH AS LACY,        <Channel name: lacy>,       2024-11-07 11:36:26.956998 

 bigmontie,     DUDE GOT HIS BITCH TOOK BY A OF DUDE WHO SHOVES DILDOS UP HIS ASS AND THAT GUY IS GOING TO START STREAMING ON TWITCH,        <Channel name: lacy>,       2024-11-07 11:37:35.315059 

 bigmontie,     Anna better….,        <Channel name: lacy>,       2024-11-07 12:58:41.187619 
