
 bigtusu_,     LUL,        <Channel name: kaicenat>,       2024-11-07 01:19:59.561627 

 bigtusu_,     LUL,        <Channel name: kaicenat>,       2024-11-07 01:20:40.690120 

 bigtusu_,     LUL,        <Channel name: kaicenat>,       2024-11-07 01:21:13.952973 

 bigtusu_,     LUL,        <Channel name: kaicenat>,       2024-11-07 01:22:13.059060 

 bigtusu_,     W spin,        <Channel name: kaicenat>,       2024-11-07 01:32:50.277609 

 bigtusu_,     thats that yak spin right there lol,        <Channel name: kaicenat>,       2024-11-07 01:33:00.220621 

 bigtusu_,     yo,        <Channel name: kaicenat>,       2024-11-07 01:33:10.403226 

 bigtusu_,     woah,        <Channel name: kaicenat>,       2024-11-07 01:33:16.186805 

 bigtusu_,     oooo,        <Channel name: kaicenat>,       2024-11-07 01:33:49.885538 

 bigtusu_,     aint no fuckin way!!!!!!!!!!!!,        <Channel name: kaicenat>,       2024-11-07 01:34:33.772671 

 bigtusu_,     na this crazy,        <Channel name: kaicenat>,       2024-11-07 01:36:04.806990 

 bigtusu_,     this it right here,        <Channel name: kaicenat>,       2024-11-07 01:36:08.979026 

 bigtusu_,     let it tilt,        <Channel name: kaicenat>,       2024-11-07 01:36:24.539315 

 bigtusu_,     lowkey W angle,        <Channel name: kaicenat>,       2024-11-07 01:36:56.407902 

 bigtusu_,     LUL,        <Channel name: kaicenat>,       2024-11-07 01:37:01.061281 

 bigtusu_,     sheesh,        <Channel name: kaicenat>,       2024-11-07 01:40:11.115993 

 bigtusu_,     do like 5 seconds lol,        <Channel name: kaicenat>,       2024-11-07 01:41:22.282712 

 bigtusu_,     make it challenging,        <Channel name: kaicenat>,       2024-11-07 01:41:25.627308 

 bigtusu_,     im crying,        <Channel name: kaicenat>,       2024-11-07 01:41:46.471323 

 bigtusu_,     W!,        <Channel name: kaicenat>,       2024-11-07 01:42:04.108251 

 bigtusu_,     7 second,        <Channel name: kaicenat>,       2024-11-07 01:42:20.098782 

 bigtusu_,     it will be thousands of push up at 30,        <Channel name: kaicenat>,       2024-11-07 01:43:51.196020 

 bigtusu_,     omg,        <Channel name: kaicenat>,       2024-11-07 01:44:01.408349 

 bigtusu_,     cooked,        <Channel name: kaicenat>,       2024-11-07 01:45:04.409379 

 bigtusu_,     ggs,        <Channel name: kaicenat>,       2024-11-07 01:45:58.218455 

 bigtusu_,     LUL,        <Channel name: kaicenat>,       2024-11-07 01:46:42.546459 

 bigtusu_,     im scared,        <Channel name: kaicenat>,       2024-11-07 01:49:06.651830 

 bigtusu_,     W pump,        <Channel name: kaicenat>,       2024-11-07 01:53:00.906915 

 bigtusu_,     in the DDG BOXING JAWN,        <Channel name: kaicenat>,       2024-11-07 01:53:46.616704 

 bigtusu_,     oh yuh,        <Channel name: kaicenat>,       2024-11-07 01:53:52.783829 

 bigtusu_,     you was made for this,        <Channel name: kaicenat>,       2024-11-07 01:54:01.273831 

 bigtusu_,     bah bah bah bah,        <Channel name: kaicenat>,       2024-11-07 01:58:39.327032 

 bigtusu_,     33,        <Channel name: kaicenat>,       2024-11-07 02:00:47.392728 

 bigtusu_,     LUL,        <Channel name: kaicenat>,       2024-11-07 02:03:41.328385 

 bigtusu_,     na 69 fr,        <Channel name: kaicenat>,       2024-11-07 02:05:18.964670 

 bigtusu_,     cmon,        <Channel name: kaicenat>,       2024-11-07 02:06:06.068642 

 bigtusu_,     83,        <Channel name: kaicenat>,       2024-11-07 02:07:18.007941 

 bigtusu_,     yuh!!,        <Channel name: kaicenat>,       2024-11-07 02:08:47.995593 

 bigtusu_,     DinoDance DinoDance DinoDance DinoDance DinoDance,        <Channel name: kaicenat>,       2024-11-07 02:09:01.549817 

 bigtusu_,     iybjacLeBumping iybjacLeBumping iybjacLeBumping iybjacLeBumping iybjacLeBumping iybjacLeBumping iybjacLeBumping iybjacLove,        <Channel name: kaicenat>,       2024-11-07 02:09:20.510490 

 bigtusu_,     W,        <Channel name: kaicenat>,       2024-11-07 02:09:53.120906 

 bigtusu_,     not like good ... but makes water weight,        <Channel name: kaicenat>,       2024-11-07 02:11:47.794145 

 bigtusu_,     good for the brain study finds,        <Channel name: kaicenat>,       2024-11-07 02:12:06.259162 

 bigtusu_,     LUL,        <Channel name: kaicenat>,       2024-11-07 02:14:27.451813 

 bigtusu_,     W manz,        <Channel name: kaicenat>,       2024-11-07 02:14:47.634765 

 bigtusu_,     cant hear buddy,        <Channel name: kaicenat>,       2024-11-07 02:35:10.014968 

 bigtusu_,     W,        <Channel name: kaicenat>,       2024-11-07 02:37:28.642974 

 bigtusu_,     LUL,        <Channel name: kaicenat>,       2024-11-07 02:41:53.621540 

 bigtusu_,     W back tatt tho,        <Channel name: kaicenat>,       2024-11-07 02:42:05.253584 
