
 bk_jojo,     L ads,        <Channel name: kaicenat>,       2024-11-07 01:46:48.619926 

 bk_jojo,     no more ads cmon,        <Channel name: kaicenat>,       2024-11-07 01:50:04.240658 

 bk_jojo,     ask bout jasmine,        <Channel name: silky>,       2024-11-07 02:31:04.361248 

 bk_jojo,     jasmineeee,        <Channel name: silky>,       2024-11-07 02:31:10.834505 

 bk_jojo,     ask bout jasmine,        <Channel name: silky>,       2024-11-07 02:31:28.099851 

 bk_jojo,     jasmineeee gang lol he gon panick,        <Channel name: silky>,       2024-11-07 02:31:47.862569 

 bk_jojo,     jasmine gang,        <Channel name: silky>,       2024-11-07 02:32:45.572000 

 bk_jojo,     ask bout jasmine,        <Channel name: silky>,       2024-11-07 02:33:24.595135 

 bk_jojo,     be like who jasmine woooo,        <Channel name: silky>,       2024-11-07 02:34:04.446179 
