
 blessedlovz,     why is it big hn,        <Channel name: kaicenat>,       2024-11-07 01:19:32.565137 

 blessedlovz,     thays full body sizze,        <Channel name: kaicenat>,       2024-11-07 01:19:42.800390 

 blessedlovz,     Told you,        <Channel name: kaicenat>,       2024-11-07 01:21:10.268807 

 blessedlovz,     i called it,        <Channel name: kaicenat>,       2024-11-07 01:21:17.176858 

 blessedlovz,     5 More,        <Channel name: kaicenat>,       2024-11-07 01:21:24.807319 

 blessedlovz,     you have millions nigga,        <Channel name: kaicenat>,       2024-11-07 01:21:35.956136 

 blessedlovz,     spin,        <Channel name: kaicenat>,       2024-11-07 01:22:59.621150 

 blessedlovz,     deal,        <Channel name: kaicenat>,       2024-11-07 01:23:13.169487 

 blessedlovz,     now spin,        <Channel name: kaicenat>,       2024-11-07 01:23:19.759911 

 blessedlovz,     we know,        <Channel name: kaicenat>,       2024-11-07 01:23:30.387054 

 blessedlovz,     you dont have to write it,        <Channel name: kaicenat>,       2024-11-07 01:23:41.142432 

 blessedlovz,     spin,        <Channel name: kaicenat>,       2024-11-07 01:24:39.097523 

 blessedlovz,     1k,        <Channel name: kaicenat>,       2024-11-07 01:24:54.070975 

 blessedlovz,     your rich,        <Channel name: kaicenat>,       2024-11-07 01:25:07.525835 

 blessedlovz,     respim,        <Channel name: kaicenat>,       2024-11-07 01:32:15.479442 

 blessedlovz,     RESPIN,        <Channel name: kaicenat>,       2024-11-07 01:32:21.046809 

 blessedlovz,     that wheel is skecthy nobody,        <Channel name: kaicenat>,       2024-11-07 01:37:24.938058 

 blessedlovz,     NO,        <Channel name: kaicenat>,       2024-11-07 01:40:18.249587 

 blessedlovz,     DONT DO IT,        <Channel name: kaicenat>,       2024-11-07 01:40:24.289551 

 blessedlovz,     YALL TRIPPINH,        <Channel name: kaicenat>,       2024-11-07 01:40:33.524451 

 blessedlovz,     you might,        <Channel name: kaicenat>,       2024-11-07 01:41:13.093011 

 blessedlovz,     diddy next door,        <Channel name: kaicenat>,       2024-11-07 01:41:23.046069 

 blessedlovz,     DONT DO THAT,        <Channel name: kaicenat>,       2024-11-07 01:41:52.606336 

 blessedlovz,     WHO wrote that,        <Channel name: kaicenat>,       2024-11-07 01:42:03.029891 

 blessedlovz,     yeah,        <Channel name: kaicenat>,       2024-11-07 02:24:04.355275 

 blessedlovz,     thats dancing kai,        <Channel name: kaicenat>,       2024-11-07 02:25:06.659518 

 blessedlovz,     search up,        <Channel name: kaicenat>,       2024-11-07 02:30:29.937474 

 blessedlovz,     look it up,        <Channel name: kaicenat>,       2024-11-07 02:30:56.166449 

 blessedlovz,     whats going on,        <Channel name: kaicenat>,       2024-11-07 02:31:03.038622 

 blessedlovz,     clap,        <Channel name: kaicenat>,       2024-11-07 02:34:09.623467 

 blessedlovz,     ayooooo,        <Channel name: kaicenat>,       2024-11-07 02:35:20.105894 

 blessedlovz,     DIDDY,        <Channel name: kaicenat>,       2024-11-07 02:35:23.898115 

 blessedlovz,     NO DIDDY WTF,        <Channel name: kaicenat>,       2024-11-07 02:35:29.878045 

 blessedlovz,     BRUH WTF KAI DO TO LIL TJAY WHATS GOING ON,        <Channel name: kaicenat>,       2024-11-07 02:48:11.322698 

 blessedlovz,     somebody earthquake at the same time,        <Channel name: kaicenat>,       2024-11-07 13:05:32.846568 

 blessedlovz,     gang,        <Channel name: kaicenat>,       2024-11-07 13:07:30.968230 

 blessedlovz,     Nigga should’ve waited until he got the water bruh fuck,        <Channel name: kaicenat>,       2024-11-07 13:08:11.604050 

 blessedlovz,     NIGGA TRIED TO WAKE HIM UO AND SAVE HIM,        <Channel name: kaicenat>,       2024-11-07 13:10:17.033589 

 blessedlovz,     the mic and the phone then do it you should’ve changed fits,        <Channel name: kaicenat>,       2024-11-07 13:26:39.035181 

 blessedlovz,     KAI LOOK LIKE DIDDY,        <Channel name: kaicenat>,       2024-11-07 13:29:13.990237 

 blessedlovz,     to much money,        <Channel name: kaicenat>,       2024-11-07 14:42:36.281926 
