
 centexd,     i wanna see the earth quake,        <Channel name: kaicenat>,       2024-11-07 11:56:44.434899 

 centexd,     Isaac  u here,        <Channel name: kaicenat>,       2024-11-07 11:59:40.162041 

 centexd,     when snoop stream ?,        <Channel name: kaicenat>,       2024-11-07 12:03:22.593152 

 centexd,     I KNOW WE GOT SUM BIG TODAY KAI,        <Channel name: kaicenat>,       2024-11-07 12:04:00.131854 

 centexd,     BIG DAY WWWWW,        <Channel name: kaicenat>,       2024-11-07 12:04:48.004201 

 centexd,     SPIDER MAN DO A ROLL CALL REAL QUICK,        <Channel name: kaicenat>,       2024-11-07 12:05:24.397057 

 centexd,     WWWWWWWW,        <Channel name: kaicenat>,       2024-11-07 13:05:14.000523 

 centexd,     ahhh i see,        <Channel name: kaicenat>,       2024-11-07 13:08:40.713166 

 centexd,     WWW CLIP KAI,        <Channel name: kaicenat>,       2024-11-07 13:09:28.476028 

 centexd,     THROW IT ON HIM,        <Channel name: kaicenat>,       2024-11-07 13:24:31.699612 

 centexd,     NAH KAI GO BK TO SLEEP U NEED IT,        <Channel name: kaicenat>,       2024-11-07 13:28:06.388260 

 centexd,     @p1st0lprincess WHY U SNICH,        <Channel name: kaicenat>,       2024-11-07 13:35:11.149790 
