
 chase_124,     gents don’t let. em sleep put earthquake,        <Channel name: kaicenat>,       2024-11-07 09:54:04.410790 

 chase_124,     hey miles say my name bro,        <Channel name: kaicenat>,       2024-11-07 09:55:12.512990 

 chase_124,     do 50 wake them up bruh,        <Channel name: kaicenat>,       2024-11-07 10:02:03.760584 

 chase_124,     do horn tf,        <Channel name: kaicenat>,       2024-11-07 10:03:14.827024 

 chase_124,     do horn wake them up tf,        <Channel name: kaicenat>,       2024-11-07 10:03:50.672784 

 chase_124,     wake them up so miles can sleep,        <Channel name: kaicenat>,       2024-11-07 10:05:08.738697 

 chase_124,     do 50!!!!!!!,        <Channel name: kaicenat>,       2024-11-07 10:05:44.492608 

 chase_124,     do a 50 trust,        <Channel name: kaicenat>,       2024-11-07 10:06:17.317993 

 chase_124,     give em a 50 tf,        <Channel name: kaicenat>,       2024-11-07 10:06:40.151895 

 chase_124,     bro 10 ain’t enough g,        <Channel name: kaicenat>,       2024-11-07 10:08:22.180239 

 chase_124,     free miles already,        <Channel name: kaicenat>,       2024-11-07 10:09:27.710958 

 chase_124,     free miles gift 50,        <Channel name: kaicenat>,       2024-11-07 10:10:50.525854 

 chase_124,     gift50 to free miles,        <Channel name: kaicenat>,       2024-11-07 10:11:30.166465 

 chase_124,     nah do a 50 already tf,        <Channel name: kaicenat>,       2024-11-07 10:12:19.393021 

 chase_124,     do 50 while he’s gone,        <Channel name: kaicenat>,       2024-11-07 10:15:01.849296 
