
 chel__uz__chata,     900,        <Channel name: shadowkekw>,       2024-11-07 09:27:42.156754 

 chel__uz__chata,     Russia,        <Channel name: shadowkekw>,       2024-11-07 10:08:45.836992 

 chel__uz__chata,     Iran,        <Channel name: shadowkekw>,       2024-11-07 10:09:19.382802 

 chel__uz__chata,     China,        <Channel name: shadowkekw>,       2024-11-07 10:09:42.536157 

 chel__uz__chata,     Peru,        <Channel name: shadowkekw>,       2024-11-07 10:10:32.448383 

 chel__uz__chata,     China,        <Channel name: shadowkekw>,       2024-11-07 10:11:26.830914 

 chel__uz__chata,     China,        <Channel name: shadowkekw>,       2024-11-07 10:12:58.435366 

 chel__uz__chata,     Russia,        <Channel name: shadowkekw>,       2024-11-07 10:14:13.743825 

 chel__uz__chata,     Guatemala,        <Channel name: shadowkekw>,       2024-11-07 10:19:17.491174 

 chel__uz__chata,     China,        <Channel name: shadowkekw>,       2024-11-07 10:22:02.985287 

 chel__uz__chata,     China,        <Channel name: shadowkekw>,       2024-11-07 10:25:09.903881 

 chel__uz__chata,     France,        <Channel name: shadowkekw>,       2024-11-07 10:26:50.635169 

 chel__uz__chata,     China,        <Channel name: shadowkekw>,       2024-11-07 10:30:30.395462 

 chel__uz__chata,     Laos,        <Channel name: shadowkekw>,       2024-11-07 10:31:44.412542 

 chel__uz__chata,     Belarus,        <Channel name: shadowkekw>,       2024-11-07 10:33:32.701140 
