
 cloudykat3,     gift meeee plssss,        <Channel name: kaicenat>,       2024-11-07 09:53:56.715013 

 cloudykat3,     t,        <Channel name: kaicenat>,       2024-11-07 11:15:44.780579 

 cloudykat3,     gift.meeee,        <Channel name: kaicenat>,       2024-11-07 11:18:51.798611 

 cloudykat3,     do what u gotta do,        <Channel name: kaicenat>,       2024-11-07 11:21:21.985890 

 cloudykat3,     wubbyAYAYA_HF wubbyAYAYA_HF wubbyAYAYA_HF,        <Channel name: kaicenat>,       2024-11-07 11:22:26.919933 

 cloudykat3,     are u gonna stay in the bed the earthquake??? omfg,        <Channel name: kaicenat>,       2024-11-07 11:34:06.056124 

 cloudykat3,     let him leave,        <Channel name: kaicenat>,       2024-11-07 11:34:53.523683 

 cloudykat3,     omg,        <Channel name: kaicenat>,       2024-11-07 11:34:55.528401 

 cloudykat3,     <3 <3 PopNemo PopNemo,        <Channel name: kaicenat>,       2024-11-07 11:41:29.458313 

 cloudykat3,     <3 <3 <3,        <Channel name: kaicenat>,       2024-11-07 11:47:02.776821 

 cloudykat3,     gift meee:3333,        <Channel name: kaicenat>,       2024-11-07 11:56:43.771250 

 cloudykat3,     gift meeeeeeee,        <Channel name: kaicenat>,       2024-11-07 12:42:50.434853 

 cloudykat3,     SSSsssplode SSSsssplode TwitchLit TwitchLit TwitchLit,        <Channel name: kaicenat>,       2024-11-07 12:43:09.966553 

 cloudykat3,     Squid1 Squid3 Squid4,        <Channel name: kaicenat>,       2024-11-07 12:44:19.174217 

 cloudykat3,     pls gift,        <Channel name: kaicenat>,       2024-11-07 12:45:13.917481 

 cloudykat3,     so nothing,        <Channel name: kaicenat>,       2024-11-07 12:50:52.041741 

 cloudykat3,     nothing happened,        <Channel name: kaicenat>,       2024-11-07 12:53:49.227483 

 cloudykat3,     pls man,        <Channel name: kaicenat>,       2024-11-07 12:56:20.954455 

 cloudykat3,     take mic,        <Channel name: kaicenat>,       2024-11-07 13:05:13.440869 

 cloudykat3,     he’s definitely filling that thing upppppp,        <Channel name: kaicenat>,       2024-11-07 13:12:30.905730 

 cloudykat3,     miles do the horn,        <Channel name: kaicenat>,       2024-11-07 13:17:33.801977 
