
 clumsykeekz,     the white spots,        <Channel name: kaicenat>,       2024-11-07 01:35:02.324013 

 clumsykeekz,     play some music,        <Channel name: kaicenat>,       2024-11-07 01:36:52.749248 

 clumsykeekz,     5 minutes,        <Channel name: kaicenat>,       2024-11-07 01:40:07.919992 

 clumsykeekz,     wwwwwww,        <Channel name: kaicenat>,       2024-11-07 01:41:32.983619 

 clumsykeekz,     put the timer on and stop bitching,        <Channel name: kaicenat>,       2024-11-07 01:42:00.469001 

 clumsykeekz,     LMAOOO,        <Channel name: kaicenat>,       2024-11-07 01:42:51.365088 

 clumsykeekz,     no,        <Channel name: kaicenat>,       2024-11-07 01:43:57.710347 

 clumsykeekz,     1 mii,        <Channel name: kaicenat>,       2024-11-07 01:45:01.108572 

 clumsykeekz,     you about to sleep good,        <Channel name: kaicenat>,       2024-11-07 01:46:13.884162 

 clumsykeekz,     ggs,        <Channel name: kaicenat>,       2024-11-07 01:46:54.499352 

 clumsykeekz,     ggs,        <Channel name: kaicenat>,       2024-11-07 01:49:39.478493 

 clumsykeekz,     you cooked,        <Channel name: kaicenat>,       2024-11-07 01:49:48.578116 

 clumsykeekz,     dammm,        <Channel name: kaicenat>,       2024-11-07 01:50:40.859033 

 clumsykeekz,     just do it,        <Channel name: kaicenat>,       2024-11-07 01:51:59.312620 

 clumsykeekz,     the background,        <Channel name: kaicenat>,       2024-11-07 02:34:05.492523 

 clumsykeekz,     LMAOOO,        <Channel name: kaicenat>,       2024-11-07 02:35:09.651184 

 clumsykeekz,     LMAOOO,        <Channel name: kaicenat>,       2024-11-07 14:43:32.847374 

 clumsykeekz,     LMAOOO,        <Channel name: kaicenat>,       2024-11-07 15:24:20.202936 
