
 cronusjr,     LMAOOO,        <Channel name: nadeshot>,       2024-11-07 12:01:14.410842 

 cronusjr,     LMAOOO,        <Channel name: nadeshot>,       2024-11-07 12:02:57.064443 

 cronusjr,     LMAOO,        <Channel name: nadeshot>,       2024-11-07 12:03:34.157697 

 cronusjr,     LMAOO,        <Channel name: nadeshot>,       2024-11-07 12:08:06.922816 

 cronusjr,     LMAOOO,        <Channel name: nadeshot>,       2024-11-07 12:09:58.328177 

 cronusjr,     LMAOOOO,        <Channel name: nadeshot>,       2024-11-07 12:11:15.195176 

 cronusjr,     the glitch of twitch,        <Channel name: nadeshot>,       2024-11-07 12:11:52.335664 

 cronusjr,     THE GLITCH OF TWITCH,        <Channel name: nadeshot>,       2024-11-07 12:12:25.258290 

 cronusjr,     LMAOOO,        <Channel name: nadeshot>,       2024-11-07 12:14:27.790904 

 cronusjr,     LMooo,        <Channel name: nadeshot>,       2024-11-07 12:15:50.804829 

 cronusjr,     LMAOOO,        <Channel name: nadeshot>,       2024-11-07 12:15:55.136579 
