
 d1s3xxxxxx,     AHAHAH,        <Channel name: shadowkekw>,       2024-11-07 09:06:02.754521 

 d1s3xxxxxx,     AHHAHAHAHAHAHAH 112,        <Channel name: shadowkekw>,       2024-11-07 09:06:05.437580 

 d1s3xxxxxx,     F[F[F[F[,        <Channel name: shadowkekw>,       2024-11-07 09:06:59.978825 

 d1s3xxxxxx,     AHAHAHHH,        <Channel name: shadowkekw>,       2024-11-07 09:07:01.641268 

 d1s3xxxxxx,     HSAHHAHHAHAHHAH,        <Channel name: shadowkekw>,       2024-11-07 09:07:03.330173 

 d1s3xxxxxx,     AHHHAHAHAHAH AH SUKA,        <Channel name: shadowkekw>,       2024-11-07 09:07:06.588744 

 d1s3xxxxxx,     WW WW,        <Channel name: shadowkekw>,       2024-11-07 09:07:08.174859 

 d1s3xxxxxx,     WWW WW WW,        <Channel name: shadowkekw>,       2024-11-07 09:07:10.527064 

 d1s3xxxxxx,     WW W,        <Channel name: shadowkekw>,       2024-11-07 09:07:13.031532 

 d1s3xxxxxx,     WW WW,        <Channel name: shadowkekw>,       2024-11-07 09:07:14.895321 

 d1s3xxxxxx,     WW WW W W,        <Channel name: shadowkekw>,       2024-11-07 09:07:17.769838 

 d1s3xxxxxx,     WW WW WWW,        <Channel name: shadowkekw>,       2024-11-07 09:07:19.905848 

 d1s3xxxxxx,     WW WWW WW,        <Channel name: shadowkekw>,       2024-11-07 09:07:22.157729 

 d1s3xxxxxx,     HAHAHA,        <Channel name: shadowkekw>,       2024-11-07 09:07:30.799756 

 d1s3xxxxxx,     HAHHAHAHHJA,        <Channel name: shadowkekw>,       2024-11-07 09:07:32.051074 

 d1s3xxxxxx,     HAHAHAHAHHHA,        <Channel name: shadowkekw>,       2024-11-07 09:07:33.049505 

 d1s3xxxxxx,     HHAHAHAHAHHAHAHHA,        <Channel name: shadowkekw>,       2024-11-07 09:07:34.557467 
