
 damiennutter,     miles crashed out,        <Channel name: kaicenat>,       2024-11-07 09:17:36.473453 

 damiennutter,     the sub count is fine,        <Channel name: kaicenat>,       2024-11-07 10:03:07.011833 

 damiennutter,     timers glitching,        <Channel name: kaicenat>,       2024-11-07 10:07:53.327055 

 damiennutter,     time going up,        <Channel name: kaicenat>,       2024-11-07 10:08:03.950502 

 damiennutter,     swat,        <Channel name: kaicenat>,       2024-11-07 10:09:59.766610 

 damiennutter,     kai feet cam,        <Channel name: kaicenat>,       2024-11-07 10:43:08.178560 

 damiennutter,     kai feet cam!!!,        <Channel name: kaicenat>,       2024-11-07 10:43:13.229077 

 damiennutter,     miles tell em switch cam,        <Channel name: kaicenat>,       2024-11-07 10:45:22.284433 

 damiennutter,     miles let them know bout the cam,        <Channel name: kaicenat>,       2024-11-07 10:45:28.294558 

 damiennutter,     gift 2 50s instead goofy,        <Channel name: kaicenat>,       2024-11-07 11:05:30.683422 

 damiennutter,     dont youll hurt him,        <Channel name: kaicenat>,       2024-11-07 11:10:13.430158 

 damiennutter,     MORE,        <Channel name: kaicenat>,       2024-11-07 11:27:03.035102 

 damiennutter,     w,        <Channel name: kaicenat>,       2024-11-07 11:34:49.034685 

 damiennutter,     EARTHQUAKE,        <Channel name: kaicenat>,       2024-11-07 12:50:50.016372 

 damiennutter,     EARTHQUAKEE,        <Channel name: kaicenat>,       2024-11-07 12:52:10.838729 

 damiennutter,     where atl jacob,        <Channel name: kaicenat>,       2024-11-07 12:54:48.665666 
