
 dannyaaronsisamazing,     w,        <Channel name: kaicenat>,       2024-11-07 09:39:08.204375 

 dannyaaronsisamazing,     yo,        <Channel name: kaicenat>,       2024-11-07 09:39:18.881583 

 dannyaaronsisamazing,     www,        <Channel name: kaicenat>,       2024-11-07 09:39:21.928724 

 dannyaaronsisamazing,     wwwww,        <Channel name: kaicenat>,       2024-11-07 09:39:23.999408 

 dannyaaronsisamazing,     wwwwwwww,        <Channel name: kaicenat>,       2024-11-07 09:39:27.347904 

 dannyaaronsisamazing,     wwwwwwwwwwwwwww,        <Channel name: kaicenat>,       2024-11-07 09:39:30.158663 

 dannyaaronsisamazing,     wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,        <Channel name: kaicenat>,       2024-11-07 09:39:34.316316 

 dannyaaronsisamazing,     wwwwwwwwwwwwwwwwwwwwwww,        <Channel name: kaicenat>,       2024-11-07 09:39:38.064040 

 dannyaaronsisamazing,     wwwwww,        <Channel name: kaicenat>,       2024-11-07 09:39:41.241256 

 dannyaaronsisamazing,     w,        <Channel name: kaicenat>,       2024-11-07 09:39:53.555263 

 dannyaaronsisamazing,     w,        <Channel name: kaicenat>,       2024-11-07 09:41:36.816872 

 dannyaaronsisamazing,     kai sleeping is sooooo funny,        <Channel name: kaicenat>,       2024-11-07 09:43:19.550782 

 dannyaaronsisamazing,     stfu,        <Channel name: kaicenat>,       2024-11-07 09:43:45.208495 

 dannyaaronsisamazing,     kai was about to scratch his balls,        <Channel name: kaicenat>,       2024-11-07 09:44:06.800550 
