
 dartyez,     USA,        <Channel name: shadowkekw>,       2024-11-07 10:53:54.497773 

 dartyez,     Thailand,        <Channel name: shadowkekw>,       2024-11-07 10:54:26.099745 

 dartyez,     China,        <Channel name: shadowkekw>,       2024-11-07 10:55:13.419296 

 dartyez,     Switzerland,        <Channel name: shadowkekw>,       2024-11-07 10:56:30.960806 

 dartyez,     Switzerland,        <Channel name: shadowkekw>,       2024-11-07 10:58:34.308058 

 dartyez,     Turkey,        <Channel name: shadowkekw>,       2024-11-07 11:01:32.530478 

 dartyez,     Serbia,        <Channel name: shadowkekw>,       2024-11-07 11:02:43.684455 

 dartyez,     Portugal,        <Channel name: shadowkekw>,       2024-11-07 11:03:52.682405 

 dartyez,     Switzerland,        <Channel name: shadowkekw>,       2024-11-07 11:05:47.985285 

 dartyez,     Chad,        <Channel name: shadowkekw>,       2024-11-07 11:06:10.468657 

 dartyez,     Kongo,        <Channel name: shadowkekw>,       2024-11-07 11:06:14.866403 

 dartyez,     Switzerland,        <Channel name: shadowkekw>,       2024-11-07 11:06:30.338775 

 dartyez,     Gana,        <Channel name: shadowkekw>,       2024-11-07 11:09:30.837327 

 dartyez,     Morocco,        <Channel name: shadowkekw>,       2024-11-07 11:09:42.754234 

 dartyez,     Bulgaria,        <Channel name: shadowkekw>,       2024-11-07 11:11:02.464584 

 dartyez,     Australia,        <Channel name: shadowkekw>,       2024-11-07 11:11:20.400224 

 dartyez,     ??,        <Channel name: shadowkekw>,       2024-11-07 11:19:50.730211 

 dartyez,     WW WW,        <Channel name: shadowkekw>,       2024-11-07 11:50:40.310998 

 dartyez,     WW WWW,        <Channel name: shadowkekw>,       2024-11-07 11:50:54.229168 

 dartyez,     JFA,        <Channel name: shadowkekw>,       2024-11-07 11:53:05.401285 
