
 dasrj_,     AHHHH PFFT,        <Channel name: kaicenat>,       2024-11-07 01:21:56.618419 

 dasrj_,     sunny sound like a suburban girl,        <Channel name: kaicenat>,       2024-11-07 01:52:34.241128 

 dasrj_,     TwitchConHYPE TwitchConHYPE TwitchConHYPE TwitchConHYPE,        <Channel name: kaicenat>,       2024-11-07 01:59:00.386447 

 dasrj_,     NO TF HE DIDNT,        <Channel name: kaicenat>,       2024-11-07 02:17:52.190957 

 dasrj_,     RAY WON,        <Channel name: kaicenat>,       2024-11-07 02:18:07.462017 

 dasrj_,     YA WHOLE ACCENT A LIE NIGGA,        <Channel name: kaicenat>,       2024-11-07 02:18:31.323400 

 dasrj_,     TALK TO WOO W RESPEK,        <Channel name: kaicenat>,       2024-11-07 02:20:00.285577 

 dasrj_,     JASON SNAPPED,        <Channel name: kaicenat>,       2024-11-07 02:20:36.552096 

 dasrj_,     YUH,        <Channel name: kaicenat>,       2024-11-07 02:20:50.229736 

 dasrj_,     “GET FUNNY”,        <Channel name: kaicenat>,       2024-11-07 02:21:23.089334 

 dasrj_,     HIS NAME DEADASS JERRY?,        <Channel name: kaicenat>,       2024-11-07 02:21:38.703691 

 dasrj_,     AND FAT ASS MIDGET SHORTS,        <Channel name: kaicenat>,       2024-11-07 02:21:57.209216 

 dasrj_,     LOWKEYY,        <Channel name: kaicenat>,       2024-11-07 02:24:50.519230 

 dasrj_,     BRONNY NOT… NVM,        <Channel name: kaicenat>,       2024-11-07 02:26:32.563630 

 dasrj_,     NAH FROM DA GYAT,        <Channel name: kaicenat>,       2024-11-07 02:34:38.678622 

 dasrj_,     ALL BUNZ PAL,        <Channel name: kaicenat>,       2024-11-07 02:34:57.599944 

 dasrj_,     damn i was 14,        <Channel name: kaicenat>,       2024-11-07 02:40:13.993442 

 dasrj_,     LMAO,        <Channel name: kaicenat>,       2024-11-07 02:41:14.476137 

 dasrj_,     SAY SHE WAN FA ME I SAY NONONONO,        <Channel name: kaicenat>,       2024-11-07 02:48:05.158580 
