
 davenz_,     bro,        <Channel name: sinatraa>,       2024-11-07 02:34:55.637667 

 davenz_,     oh no the guy is back,        <Channel name: sinatraa>,       2024-11-07 02:36:27.421979 

 davenz_,     bro its dapr himself? thats him?,        <Channel name: sinatraa>,       2024-11-07 02:45:33.714840 

 davenz_,     can you still play cod,        <Channel name: sinatraa>,       2024-11-07 02:46:27.954848 

 davenz_,     chat be normal,        <Channel name: sinatraa>,       2024-11-07 02:47:57.318021 

 davenz_,     yo,        <Channel name: sinatraa>,       2024-11-07 02:48:20.209493 

 davenz_,     YooHoo,        <Channel name: sinatraa>,       2024-11-07 02:48:23.323375 

 davenz_,     Yuupppie,        <Channel name: sinatraa>,       2024-11-07 02:48:27.132601 

 davenz_,     Hooraay,        <Channel name: sinatraa>,       2024-11-07 02:48:31.524971 

 davenz_,     Fire,        <Channel name: sinatraa>,       2024-11-07 02:48:33.342073 

 davenz_,     LIT,        <Channel name: sinatraa>,       2024-11-07 02:48:35.362007 

 davenz_,     what roller,        <Channel name: sinatraa>,       2024-11-07 02:50:54.147878 

 davenz_,     D:,        <Channel name: sinatraa>,       2024-11-07 02:51:17.512006 

 davenz_,     is this tarkov,        <Channel name: sinatraa>,       2024-11-07 02:52:05.129364 

 davenz_,     !car,        <Channel name: sinatraa>,       2024-11-07 02:52:42.644281 

 davenz_,     Have you ever shot a gun IRL JAY won,        <Channel name: sinatraa>,       2024-11-07 02:53:30.211950 
