
 did_he21,     na he wimp,        <Channel name: kaicenat>,       2024-11-07 13:05:40.830499 

 did_he21,     crazy,        <Channel name: kaicenat>,       2024-11-07 13:06:01.410845 

 did_he21,     lmao,        <Channel name: kaicenat>,       2024-11-07 13:06:23.495175 

 did_he21,     its done,        <Channel name: kaicenat>,       2024-11-07 13:06:38.806773 

 did_he21,     yo why,        <Channel name: kaicenat>,       2024-11-07 13:07:01.415711 

 did_he21,     no way bro,        <Channel name: kaicenat>,       2024-11-07 13:07:59.055767 

 did_he21,     finaly,        <Channel name: kaicenat>,       2024-11-07 13:16:08.026829 

 did_he21,     do it  bro dont hesitate,        <Channel name: kaicenat>,       2024-11-07 13:16:59.129441 

 did_he21,     rock paper scissors,        <Channel name: kaicenat>,       2024-11-07 13:20:03.323656 
