
 dimitriskoul,     !time,        <Channel name: kaicenat>,       2024-11-07 09:18:43.103869 

 dimitriskoul,     Water Miles,        <Channel name: kaicenat>,       2024-11-07 12:41:21.561785 

 dimitriskoul,     Ooo shittt,        <Channel name: kaicenat>,       2024-11-07 12:47:30.071886 

 dimitriskoul,     And now who gift 100 subs? Ahahaha,        <Channel name: kaicenat>,       2024-11-07 12:54:31.722786 

 dimitriskoul,     Miles gift 100 subs hahahaha,        <Channel name: kaicenat>,       2024-11-07 12:57:54.309746 

 dimitriskoul,     Wwwww,        <Channel name: kaicenat>,       2024-11-07 12:59:55.248844 

 dimitriskoul,     50 gifts and es,        <Channel name: kaicenat>,       2024-11-07 13:23:01.563939 

 dimitriskoul,     The water?.,        <Channel name: kaicenat>,       2024-11-07 13:24:30.271577 

 dimitriskoul,     Ahahhahahahha,        <Channel name: kaicenat>,       2024-11-07 13:26:26.694970 

 dimitriskoul,     Ahhahahahha,        <Channel name: kaicenat>,       2024-11-07 13:28:14.938525 

 dimitriskoul,     Wtf ahhahahah,        <Channel name: kaicenat>,       2024-11-07 13:34:54.306697 
