
 dnsolar,     omg u a dumbass,        <Channel name: meltislive>,       2024-11-07 02:34:40.313162 

 dnsolar,     U A FREE HAT,        <Channel name: meltislive>,       2024-11-07 02:35:05.492860 

 dnsolar,     noooo,        <Channel name: meltislive>,       2024-11-07 02:36:26.786821 

 dnsolar,     she like attention,        <Channel name: meltislive>,       2024-11-07 02:38:45.508417 

 dnsolar,     If its not food chibu isnt credible,        <Channel name: meltislive>,       2024-11-07 02:46:29.231425 

 dnsolar,     bro u cant keep playin wit a crazy bitcg,        <Channel name: meltislive>,       2024-11-07 02:47:13.335995 

 dnsolar,     bitch*,        <Channel name: meltislive>,       2024-11-07 02:47:21.014811 

 dnsolar,     hmm,        <Channel name: meltislive>,       2024-11-07 02:48:21.651374 

 dnsolar,     nigga wat,        <Channel name: meltislive>,       2024-11-07 02:49:16.287024 

 dnsolar,     U take this as a joke?,        <Channel name: meltislive>,       2024-11-07 02:49:30.010628 

 dnsolar,     U good,        <Channel name: meltislive>,       2024-11-07 02:50:47.139073 

 dnsolar,     bro wat,        <Channel name: meltislive>,       2024-11-07 02:51:29.125718 

 dnsolar,     Morro tryna crush,        <Channel name: meltislive>,       2024-11-07 02:53:07.987605 

 dnsolar,     NAHHHH,        <Channel name: meltislive>,       2024-11-07 02:53:13.630960 

 dnsolar,     NAHHH HER PUSSY TOO GOOD,        <Channel name: meltislive>,       2024-11-07 02:53:26.354425 

 dnsolar,     PUSSY TOO GOOD,        <Channel name: meltislive>,       2024-11-07 02:53:36.104148 
