
 drakeryz,     we gonna be waiting like 20 mins LMFAO,        <Channel name: kaicenat>,       2024-11-07 01:32:17.967646 

 drakeryz,     PauseChamp,        <Channel name: kaicenat>,       2024-11-07 01:33:12.184777 

 drakeryz,     PauseChamp ...,        <Channel name: kaicenat>,       2024-11-07 01:33:23.731100 

 drakeryz,     silky is right,        <Channel name: jasontheween>,       2024-11-07 01:52:38.524643 

 drakeryz,     silky right max wrong,        <Channel name: jasontheween>,       2024-11-07 01:53:25.177039 

 drakeryz,     uuh,        <Channel name: jasontheween>,       2024-11-07 01:56:56.757953 

 drakeryz,     lebron ahh comment LMFAO,        <Channel name: jasontheween>,       2024-11-07 01:58:21.184332 

 drakeryz,     ugly mf,        <Channel name: plaqueboymax>,       2024-11-07 02:03:40.419380 

 drakeryz,     LMFAOO,        <Channel name: pokelawls>,       2024-11-07 02:09:27.681921 

 drakeryz,     LMFAOO,        <Channel name: pokelawls>,       2024-11-07 02:12:28.928879 

 drakeryz,     babty,        <Channel name: pokelawls>,       2024-11-07 02:13:33.123960 

 drakeryz,     LMFAOO,        <Channel name: pokelawls>,       2024-11-07 02:15:07.634219 

 drakeryz,     @puggy247 we good,        <Channel name: kaicenat>,       2024-11-07 02:50:10.644057 

 drakeryz,     get off max dick chat,        <Channel name: kaicenat>,       2024-11-07 02:52:07.404220 
