
 dude20201,     legit clearly weighted,        <Channel name: kaicenat>,       2024-11-07 01:34:52.288926 

 dude20201,     it’s weighted we know,        <Channel name: kaicenat>,       2024-11-07 01:35:11.736872 

 dude20201,     1 min,        <Channel name: kaicenat>,       2024-11-07 01:41:25.983364 

 dude20201,     bro,        <Channel name: kaicenat>,       2024-11-07 01:44:04.065682 

 dude20201,     1 min r u joking,        <Channel name: kaicenat>,       2024-11-07 01:44:14.302723 

 dude20201,     1 min,        <Channel name: kaicenat>,       2024-11-07 01:44:16.797303 

 dude20201,     don’t play us like that 1 MINUTE,        <Channel name: kaicenat>,       2024-11-07 01:44:33.792411 

 dude20201,     1 min,        <Channel name: kaicenat>,       2024-11-07 01:44:57.774356 

 dude20201,     24 ads is crazy work,        <Channel name: kaicenat>,       2024-11-07 01:47:50.623728 

 dude20201,     gift me,        <Channel name: kaicenat>,       2024-11-07 01:50:51.824441 
