
 dufflebagboy,     lol,        <Channel name: kaicenat>,       2024-11-07 01:20:54.258526 

 dufflebagboy,     kaicSturdyy kaicSturdyy kaicSturdyy kaicSturdyy kaicSturdyy kaicSturdyy,        <Channel name: kaicenat>,       2024-11-07 01:49:43.356035 

 dufflebagboy,     GET TO WORK BOY,        <Channel name: kaicenat>,       2024-11-07 01:52:40.159326 

 dufflebagboy,     DROP DOWN GIVE ME 156,        <Channel name: kaicenat>,       2024-11-07 01:53:17.820069 

 dufflebagboy,     YES,        <Channel name: kaicenat>,       2024-11-07 01:53:52.614033 

 dufflebagboy,     CHOP CHOP,        <Channel name: kaicenat>,       2024-11-07 01:54:04.650166 

 dufflebagboy,     no,        <Channel name: kaicenat>,       2024-11-07 01:54:23.478351 

 dufflebagboy,     NO NIGGA,        <Channel name: kaicenat>,       2024-11-07 01:54:31.926424 

 dufflebagboy,     in ya ho,        <Channel name: kaicenat>,       2024-11-07 01:55:41.592128 

 dufflebagboy,     just do THem,        <Channel name: kaicenat>,       2024-11-07 01:56:27.435615 

 dufflebagboy,     LMAO,        <Channel name: kaicenat>,       2024-11-07 01:56:50.397829 

 dufflebagboy,     ........................................,        <Channel name: kaicenat>,       2024-11-07 01:58:34.741309 

 dufflebagboy,     0,        <Channel name: kaicenat>,       2024-11-07 01:58:42.540652 

 dufflebagboy,     0000,        <Channel name: kaicenat>,       2024-11-07 01:58:47.796968 

 dufflebagboy,     1,        <Channel name: kaicenat>,       2024-11-07 01:59:06.764066 

 dufflebagboy,     light,        <Channel name: kaicenat>,       2024-11-07 02:02:08.519452 

 dufflebagboy,     25,        <Channel name: kaicenat>,       2024-11-07 02:02:20.413513 

 dufflebagboy,     45,        <Channel name: kaicenat>,       2024-11-07 02:02:50.936528 

 dufflebagboy,     0,        <Channel name: kaicenat>,       2024-11-07 02:02:55.356241 

 dufflebagboy,     on a crowded court,        <Channel name: kaicenat>,       2024-11-07 02:17:59.984864 

 dufflebagboy,     .....................................,        <Channel name: kaicenat>,       2024-11-07 02:45:31.377969 
