
 elazrael00,     change cam,        <Channel name: kaicenat>,       2024-11-07 10:45:59.924958 

 elazrael00,     change can,        <Channel name: kaicenat>,       2024-11-07 10:46:04.566848 

 elazrael00,     L CAM,        <Channel name: kaicenat>,       2024-11-07 10:46:10.987671 

 elazrael00,     FIX THE CAM,        <Channel name: kaicenat>,       2024-11-07 10:46:16.558819 

 elazrael00,     SWITCH THE CAM,        <Channel name: kaicenat>,       2024-11-07 10:46:31.577310 

 elazrael00,     thank you,        <Channel name: kaicenat>,       2024-11-07 10:48:02.883129 

 elazrael00,     WWWW,        <Channel name: kaicenat>,       2024-11-07 10:48:06.640524 

 elazrael00,     WWWWW,        <Channel name: kaicenat>,       2024-11-07 10:48:08.498858 

 elazrael00,     bro drop 50 again they needa get up,        <Channel name: kaicenat>,       2024-11-07 10:52:42.785353 

 elazrael00,     get UPPPPPPP,        <Channel name: kaicenat>,       2024-11-07 10:52:53.467845 

 elazrael00,     GET UPPPPP,        <Channel name: kaicenat>,       2024-11-07 10:52:57.687539 

 elazrael00,     GET UPPPPPPPPP,        <Channel name: kaicenat>,       2024-11-07 10:53:12.048522 

 elazrael00,     GET UPPPPPPPP,        <Channel name: kaicenat>,       2024-11-07 10:53:18.683023 

 elazrael00,     IN MEEK VOICE GET UPP,        <Channel name: kaicenat>,       2024-11-07 10:53:34.805146 
