
 elsuertesam,     Sisi,        <Channel name: aldo_geo>,       2024-11-07 01:53:06.225310 

 elsuertesam,     XD,        <Channel name: aldo_geo>,       2024-11-07 02:05:34.640651 

 elsuertesam,     ??,        <Channel name: aldo_geo>,       2024-11-07 02:07:14.665452 

 elsuertesam,     Vamoooooos,        <Channel name: aldo_geo>,       2024-11-07 02:09:04.628825 

 elsuertesam,     XDDD,        <Channel name: aldo_geo>,       2024-11-07 02:15:48.064235 

 elsuertesam,     LMAO,        <Channel name: aldo_geo>,       2024-11-07 02:16:29.513933 

 elsuertesam,     HAH,        <Channel name: aldo_geo>,       2024-11-07 02:16:38.176449 

 elsuertesam,     Eselmartillo,        <Channel name: aldo_geo>,       2024-11-07 02:17:10.279157 

 elsuertesam,     aldogeoPray aldogeoPray aldogeoPray,        <Channel name: aldo_geo>,       2024-11-07 02:46:38.808964 
