
 euro_fpss,     it's weighted man,        <Channel name: kaicenat>,       2024-11-07 01:35:11.969796 

 euro_fpss,     it's weight that keeps it going back,        <Channel name: kaicenat>,       2024-11-07 01:35:21.538077 

 euro_fpss,     there's weights on that thing man,        <Channel name: kaicenat>,       2024-11-07 01:40:20.747207 

 euro_fpss,     bot,        <Channel name: clix>,       2024-11-07 01:57:35.106467 

 euro_fpss,     skibidi,        <Channel name: clix>,       2024-11-07 01:59:02.304514 

 euro_fpss,     skibidi,        <Channel name: clix>,       2024-11-07 02:01:27.469436 

 euro_fpss,     skibidi,        <Channel name: clix>,       2024-11-07 02:02:50.830250 

 euro_fpss,     @edgemaxxxer old,        <Channel name: clix>,       2024-11-07 02:08:31.660489 

 euro_fpss,     W leak,        <Channel name: clix>,       2024-11-07 02:13:04.098664 

 euro_fpss,     Clix account robbed,        <Channel name: clix>,       2024-11-07 02:13:18.431114 

 euro_fpss,     L leak,        <Channel name: clix>,       2024-11-07 02:13:21.787606 

 euro_fpss,     W scam,        <Channel name: clix>,       2024-11-07 02:13:41.672657 

 euro_fpss,     Fearless bro,        <Channel name: clix>,       2024-11-07 02:13:43.395104 

 euro_fpss,     Just play fear,        <Channel name: clix>,       2024-11-07 02:13:47.676567 

 euro_fpss,     fearless,        <Channel name: clix>,       2024-11-07 02:13:54.423450 

 euro_fpss,     fearlesss,        <Channel name: clix>,       2024-11-07 02:14:01.797919 

 euro_fpss,     TOS,        <Channel name: clix>,       2024-11-07 02:15:02.328992 

 euro_fpss,     TOS bro,        <Channel name: clix>,       2024-11-07 02:15:04.752013 

 euro_fpss,     TOSSSSSSSSSSS,        <Channel name: clix>,       2024-11-07 02:15:07.076716 

 euro_fpss,     kai been on it bruh,        <Channel name: kaicenat>,       2024-11-07 02:17:09.102075 

 euro_fpss,     lets be honest,        <Channel name: kaicenat>,       2024-11-07 02:17:12.641531 

 euro_fpss,     same height,        <Channel name: kaicenat>,       2024-11-07 02:18:51.904511 

 euro_fpss,     same heighttt,        <Channel name: kaicenat>,       2024-11-07 02:18:56.867281 

 euro_fpss,     ron cant even run bro,        <Channel name: kaicenat>,       2024-11-07 02:20:08.466113 

 euro_fpss,     u trying to exhaust him. He ain't a runner,        <Channel name: kaicenat>,       2024-11-07 02:20:17.541211 
