
 feall124,     loafin,        <Channel name: meltislive>,       2024-11-07 02:34:35.887584 

 feall124,     she mad asl,        <Channel name: meltislive>,       2024-11-07 02:38:02.116969 

 feall124,     play music,        <Channel name: meltislive>,       2024-11-07 02:38:12.769172 

 feall124,     she calling u pussy lmao,        <Channel name: meltislive>,       2024-11-07 02:38:34.903631 

 feall124,     LMAOO,        <Channel name: meltislive>,       2024-11-07 02:39:15.857598 

 feall124,     w yanni,        <Channel name: meltislive>,       2024-11-07 02:40:19.729387 

 feall124,     why u kept botherin her,        <Channel name: meltislive>,       2024-11-07 02:45:07.274459 

 feall124,     stop provokin crazy bitches,        <Channel name: meltislive>,       2024-11-07 02:48:30.777335 

 feall124,     nah she wylin,        <Channel name: meltislive>,       2024-11-07 02:49:28.306524 

 feall124,     should of shot her,        <Channel name: meltislive>,       2024-11-07 02:50:41.635592 

 feall124,     OML I WOULD OF KILLED HER,        <Channel name: meltislive>,       2024-11-07 02:50:51.042160 

 feall124,     LMAOO,        <Channel name: meltislive>,       2024-11-07 02:51:25.513293 
