
 fearlessqqqw,     123123,        <Channel name: shadowkekw>,       2024-11-07 09:20:50.897266 

 fearlessqqqw,     1312,        <Channel name: shadowkekw>,       2024-11-07 09:20:51.790238 

 fearlessqqqw,     3322,        <Channel name: shadowkekw>,       2024-11-07 09:20:52.819903 

 fearlessqqqw,     !india,        <Channel name: shadowkekw>,       2024-11-07 10:08:12.117518 

 fearlessqqqw,     !shew,        <Channel name: shadowkekw>,       2024-11-07 10:09:53.675983 

 fearlessqqqw,     !poand,        <Channel name: shadowkekw>,       2024-11-07 10:10:18.888666 

 fearlessqqqw,     !usa,        <Channel name: shadowkekw>,       2024-11-07 10:12:20.664330 

 fearlessqqqw,     !greck,        <Channel name: shadowkekw>,       2024-11-07 10:15:45.179949 

 fearlessqqqw,     !india,        <Channel name: shadowkekw>,       2024-11-07 10:16:08.357102 

 fearlessqqqw,     !ukrain,        <Channel name: shadowkekw>,       2024-11-07 10:19:59.173958 
