
 fizzite_,     @KenCarsonXman bro he not zen,        <Channel name: plaqueboymax>,       2024-11-07 01:40:00.748431 

 fizzite_,     look at ur eyes ugly,        <Channel name: plaqueboymax>,       2024-11-07 01:40:17.839786 

 fizzite_,     we cant hear,        <Channel name: plaqueboymax>,       2024-11-07 01:40:47.167932 

 fizzite_,     bitch nigga we cant hear it,        <Channel name: plaqueboymax>,       2024-11-07 01:40:59.429577 

 fizzite_,     whats that smell,        <Channel name: plaqueboymax>,       2024-11-07 01:54:39.971860 

 fizzite_,     i was here i was here i was here,        <Channel name: plaqueboymax>,       2024-11-07 01:56:00.575744 

 fizzite_,     ADA,        <Channel name: plaqueboymax>,       2024-11-07 01:56:49.846684 

 fizzite_,     w ada,        <Channel name: plaqueboymax>,       2024-11-07 01:56:52.748226 

 fizzite_,     W ada feat,        <Channel name: plaqueboymax>,       2024-11-07 01:57:00.129563 

 fizzite_,     dtm,        <Channel name: plaqueboymax>,       2024-11-07 02:00:29.704009 

 fizzite_,     DTM,        <Channel name: plaqueboymax>,       2024-11-07 02:00:41.070433 

 fizzite_,     SILKY WANNA BE INVOLVED BAD,        <Channel name: plaqueboymax>,       2024-11-07 02:02:21.147002 

 fizzite_,     O NAAAAAAAAAAAAA,        <Channel name: plaqueboymax>,       2024-11-07 02:04:47.491205 

 fizzite_,     get him out he being annoying as fuck,        <Channel name: plaqueboymax>,       2024-11-07 02:06:49.927573 
