
 fxndibuqq,     lottery,        <Channel name: kaicenat>,       2024-11-07 01:18:25.633779 

 fxndibuqq,     lottery,        <Channel name: kaicenat>,       2024-11-07 01:18:51.296199 

 fxndibuqq,     hoooddd lottery,        <Channel name: kaicenat>,       2024-11-07 01:19:04.155062 

 fxndibuqq,     2,        <Channel name: kaicenat>,       2024-11-07 01:19:33.286067 

 fxndibuqq,     can we do hood lottery,        <Channel name: kaicenat>,       2024-11-07 01:21:34.137211 

 fxndibuqq,     hood lotto,        <Channel name: kaicenat>,       2024-11-07 01:21:38.569235 

 fxndibuqq,     hood Lott,        <Channel name: kaicenat>,       2024-11-07 01:21:45.051371 

 fxndibuqq,     hood lotto,        <Channel name: kaicenat>,       2024-11-07 01:22:47.996999 

 fxndibuqq,     hood Lottery,        <Channel name: kaicenat>,       2024-11-07 01:23:13.156387 

 fxndibuqq,     hood lotto,        <Channel name: kaicenat>,       2024-11-07 01:24:55.405555 

 fxndibuqq,     hood lottto,        <Channel name: kaicenat>,       2024-11-07 01:25:07.659224 

 fxndibuqq,     hood lottery,        <Channel name: kaicenat>,       2024-11-07 01:32:24.217340 

 fxndibuqq,     hood lottery,        <Channel name: kaicenat>,       2024-11-07 01:32:57.354890 

 fxndibuqq,     hood lottery,        <Channel name: kaicenat>,       2024-11-07 01:33:31.727826 

 fxndibuqq,     hood lottery,        <Channel name: kaicenat>,       2024-11-07 01:43:41.302993 

 fxndibuqq,     hood lot,        <Channel name: kaicenat>,       2024-11-07 01:44:04.079274 

 fxndibuqq,     hood lottery,        <Channel name: kaicenat>,       2024-11-07 01:44:07.478663 

 fxndibuqq,     hood lottery kaicGimmiegold kaicGimmiegold kaicGimmiegold kaicGimmiegold kaicGimmiegold kaicGimmiegold kaicGimmiegold,        <Channel name: kaicenat>,       2024-11-07 01:44:34.328222 

 fxndibuqq,     can you do a hood lottery kai,        <Channel name: kaicenat>,       2024-11-07 01:45:48.259268 

 fxndibuqq,     can you do a hood lottery kai,        <Channel name: kaicenat>,       2024-11-07 01:46:35.337251 

 fxndibuqq,     time to gts kai,        <Channel name: kaicenat>,       2024-11-07 02:38:41.827536 
