
 hana1317,     Gg,        <Channel name: kaicenat>,       2024-11-07 01:50:45.760721 

 hana1317,     BOP,        <Channel name: kaicenat>,       2024-11-07 02:06:27.214536 

 hana1317,     WWWWW,        <Channel name: kaicenat>,       2024-11-07 02:08:52.954397 

 hana1317,     WW,        <Channel name: kaicenat>,       2024-11-07 02:09:01.077319 

 hana1317,     WW WW WW WW,        <Channel name: kaicenat>,       2024-11-07 02:09:14.697645 

 hana1317,     MILES ARE U OK U SEEM TIRED,        <Channel name: kaicenat>,       2024-11-07 09:40:09.857346 

 hana1317,     FREE MILES,        <Channel name: kaicenat>,       2024-11-07 09:40:33.540901 

 hana1317,     HE TIRED I FEEL BAD FOR HIM,        <Channel name: kaicenat>,       2024-11-07 09:41:55.471018 

 hana1317,     LMFAO,        <Channel name: kaicenat>,       2024-11-07 09:43:15.077890 

 hana1317,     LMFAO LMFAO,        <Channel name: kaicenat>,       2024-11-07 09:43:20.201261 

 hana1317,     HAHAHAHA LMFAO,        <Channel name: kaicenat>,       2024-11-07 09:43:26.615622 

 hana1317,     LMFAO,        <Channel name: kaicenat>,       2024-11-07 09:43:33.255607 
