
 harnanaz,     yooo,        <Channel name: kaicenat>,       2024-11-07 09:15:35.084713 

 harnanaz,     gtb,        <Channel name: kaicenat>,       2024-11-07 09:15:55.704855 

 harnanaz,     SeemsGood to sleep,        <Channel name: kaicenat>,       2024-11-07 09:16:28.441577 

 harnanaz,     s,        <Channel name: kaicenat>,       2024-11-07 09:16:40.733485 

 harnanaz,     yo,        <Channel name: kaicenat>,       2024-11-07 09:17:47.030165 

 harnanaz,     yooo,        <Channel name: kaicenat>,       2024-11-07 09:18:36.627429 

 harnanaz,     say peter is better than you,        <Channel name: kaicenat>,       2024-11-07 09:20:00.266994 

 harnanaz,     do not look at me like that,        <Channel name: kaicenat>,       2024-11-07 09:21:54.679574 

 harnanaz,     peter is beter than u bro,        <Channel name: kaicenat>,       2024-11-07 09:22:52.681049 

 harnanaz,     i amfrom nanibia africa,        <Channel name: kaicenat>,       2024-11-07 09:25:14.844075 

 harnanaz,     wwwww,        <Channel name: kaicenat>,       2024-11-07 09:29:45.672477 

 harnanaz,     fff fx fcfsrd fscxtsvhgavxghvzhxgsxsfcxsvcxavxfgscxxfsxhsg,        <Channel name: kaicenat>,       2024-11-07 09:31:34.847269 
