
 harswizzy,     wwwwww,        <Channel name: kaicenat>,       2024-11-07 11:36:03.790888 

 harswizzy,     wwwwww,        <Channel name: kaicenat>,       2024-11-07 12:01:12.852036 

 harswizzy,     wwwwwwwww,        <Channel name: kaicenat>,       2024-11-07 12:01:18.973444 

 harswizzy,     wwwwwwww,        <Channel name: kaicenat>,       2024-11-07 12:01:23.724381 

 harswizzy,     wwwwwwwww,        <Channel name: kaicenat>,       2024-11-07 12:01:28.118219 

 harswizzy,     wwwwwwww,        <Channel name: kaicenat>,       2024-11-07 12:01:31.625227 

 harswizzy,     wwwwwwwwww,        <Channel name: kaicenat>,       2024-11-07 12:01:36.223916 

 harswizzy,     wwwwwwwwwww,        <Channel name: kaicenat>,       2024-11-07 12:01:42.218664 

 harswizzy,     wwwwwwwww,        <Channel name: kaicenat>,       2024-11-07 12:01:47.636788 

 harswizzy,     wwwwww,        <Channel name: kaicenat>,       2024-11-07 12:02:00.149315 

 harswizzy,     please gift me !!!,        <Channel name: kaicenat>,       2024-11-07 12:19:25.756236 

 harswizzy,     thanks for the sub !!!,        <Channel name: kaicenat>,       2024-11-07 12:35:00.384035 

 harswizzy,     earthquake !!!!!!,        <Channel name: kaicenat>,       2024-11-07 12:41:18.454742 

 harswizzy,     kaicWAVE kaicWAVE kaicWAVE kaicWAVE,        <Channel name: kaicenat>,       2024-11-07 12:43:02.436416 

 harswizzy,     kaicSturdyy kaicSturdyy kaicSturdyy kaicSturdyy,        <Channel name: kaicenat>,       2024-11-07 12:43:13.327538 

 harswizzy,     wwwwww,        <Channel name: kaicenat>,       2024-11-07 12:45:09.170173 

 harswizzy,     28!!!!,        <Channel name: kaicenat>,       2024-11-07 12:47:14.357438 

 harswizzy,     wwwwww,        <Channel name: kaicenat>,       2024-11-07 12:47:48.036675 

 harswizzy,     earthquake wwww,        <Channel name: kaicenat>,       2024-11-07 12:51:56.260513 

 harswizzy,     what is earthquake ?,        <Channel name: kaicenat>,       2024-11-07 12:55:05.663557 
