
 itsarioo,     NO,        <Channel name: caseoh_>,       2024-11-07 01:40:10.336906 

 itsarioo,     gg,        <Channel name: caseoh_>,       2024-11-07 01:40:54.636974 

 itsarioo,     3 food,        <Channel name: caseoh_>,       2024-11-07 01:41:19.082874 

 itsarioo,     gg,        <Channel name: caseoh_>,       2024-11-07 01:42:53.754296 

 itsarioo,     ?????,        <Channel name: caseoh_>,       2024-11-07 01:43:55.938166 

 itsarioo,     WHAT,        <Channel name: caseoh_>,       2024-11-07 01:44:07.855116 

 itsarioo,     gg,        <Channel name: caseoh_>,       2024-11-07 01:44:14.979475 

 itsarioo,     Send her,        <Channel name: caseoh_>,       2024-11-07 01:44:27.818611 

 itsarioo,     YES,        <Channel name: caseoh_>,       2024-11-07 01:45:47.495776 

 itsarioo,     LOL,        <Channel name: caseoh_>,       2024-11-07 01:47:51.267169 

 itsarioo,     NOO,        <Channel name: caseoh_>,       2024-11-07 01:48:12.736152 

 itsarioo,     skip it,        <Channel name: caseoh_>,       2024-11-07 01:48:28.707348 

 itsarioo,     WW,        <Channel name: caseoh_>,       2024-11-07 01:49:17.310857 

 itsarioo,     GG,        <Channel name: caseoh_>,       2024-11-07 01:50:31.998917 

 itsarioo,     O7,        <Channel name: caseoh_>,       2024-11-07 01:51:57.522619 

 itsarioo,     WWW,        <Channel name: caseoh_>,       2024-11-07 01:54:16.905645 
