
 itsprobcharne,     Did you take a break,        <Channel name: kaicenat>,       2024-11-07 11:17:41.403815 

 itsprobcharne,     !time,        <Channel name: kaicenat>,       2024-11-07 11:18:07.540301 

 itsprobcharne,     Could you take venom,        <Channel name: kaicenat>,       2024-11-07 11:18:44.095610 

 itsprobcharne,     Almost at 230,        <Channel name: kaicenat>,       2024-11-07 11:21:10.352254 

 itsprobcharne,     Take a break @kaicenat,        <Channel name: kaicenat>,       2024-11-07 11:28:04.229653 

 itsprobcharne,     I was here,        <Channel name: kaicenat>,       2024-11-07 11:32:07.410355 

 itsprobcharne,     7,        <Channel name: kaicenat>,       2024-11-07 11:34:32.824104 

 itsprobcharne,     Could I have a sub please,        <Channel name: kaicenat>,       2024-11-07 11:40:26.566479 

 itsprobcharne,     Go gift Box13_,        <Channel name: kaicenat>,       2024-11-07 11:43:10.165427 

 itsprobcharne,     Go gift Box13_ please,        <Channel name: kaicenat>,       2024-11-07 11:43:23.061482 

 itsprobcharne,     Go gift Box13_,        <Channel name: kaicenat>,       2024-11-07 11:43:31.813467 
