
 itztwiztedx,     rofl,        <Channel name: nadeshot>,       2024-11-07 11:37:02.774282 

 itztwiztedx,     nadeW,        <Channel name: nadeshot>,       2024-11-07 11:38:41.258329 

 itztwiztedx,     nadeInsane nadeInsane,        <Channel name: nadeshot>,       2024-11-07 11:41:34.414513 

 itztwiztedx,     nadeHaley nadeHaley nadeHaley nadeHaley,        <Channel name: nadeshot>,       2024-11-07 11:41:44.727892 

 itztwiztedx,     nadeW nadeHaley nadeHaley,        <Channel name: nadeshot>,       2024-11-07 11:42:36.146064 

 itztwiztedx,     PixelBob LUL LUL LUL LUL,        <Channel name: nadeshot>,       2024-11-07 11:43:59.370070 

 itztwiztedx,     W,        <Channel name: nadeshot>,       2024-11-07 11:46:00.945672 

 itztwiztedx,     tiff31Omg tiff31Omg,        <Channel name: nadeshot>,       2024-11-07 11:48:40.313976 

 itztwiztedx,     lol,        <Channel name: nadeshot>,       2024-11-07 11:49:17.300180 

 itztwiztedx,     lol,        <Channel name: nadeshot>,       2024-11-07 11:55:19.004858 

 itztwiztedx,     fixed,        <Channel name: nadeshot>,       2024-11-07 11:56:54.246721 

 itztwiztedx,     tiff31Omg tiff31Omg,        <Channel name: nadeshot>,       2024-11-07 11:58:20.117605 

 itztwiztedx,     real love,        <Channel name: nadeshot>,       2024-11-07 11:58:39.490757 

 itztwiztedx,     nadeHaley nadeHaley nadeHaley nadeHaley,        <Channel name: nadeshot>,       2024-11-07 11:58:57.640330 

 itztwiztedx,     arm had no blood in it,        <Channel name: nadeshot>,       2024-11-07 12:00:16.661528 

 itztwiztedx,     PixelBob LUL,        <Channel name: nadeshot>,       2024-11-07 12:01:11.230650 

 itztwiztedx,     heyyyy,        <Channel name: nadeshot>,       2024-11-07 12:03:08.660199 

 itztwiztedx,     nadeW,        <Channel name: nadeshot>,       2024-11-07 12:04:22.670494 
