
 jaepting,     yoooo,        <Channel name: kaicenat>,       2024-11-07 11:23:29.840155 

 jaepting,     gift me,        <Channel name: kaicenat>,       2024-11-07 12:05:51.692554 

 jaepting,     wwww miles,        <Channel name: kaicenat>,       2024-11-07 12:18:03.096866 

 jaepting,     let’s go almost there,        <Channel name: kaicenat>,       2024-11-07 12:19:24.044668 

 jaepting,     86 more,        <Channel name: kaicenat>,       2024-11-07 12:35:24.677476 

 jaepting,     miles keep pushing,        <Channel name: kaicenat>,       2024-11-07 12:37:43.150633 

 jaepting,     50 more,        <Channel name: kaicenat>,       2024-11-07 12:44:11.722581 

 jaepting,     40,        <Channel name: kaicenat>,       2024-11-07 12:45:42.258612 

 jaepting,     wwwwww miles,        <Channel name: kaicenat>,       2024-11-07 12:51:57.494898 

 jaepting,     w 230k,        <Channel name: kaicenat>,       2024-11-07 12:52:54.800242 

 jaepting,     L Ad,        <Channel name: kaicenat>,       2024-11-07 15:23:22.875375 

 jaepting,     L Ads I got 5 more to watch,        <Channel name: kaicenat>,       2024-11-07 15:23:37.417045 

 jaepting,     L Ad 3 more,        <Channel name: kaicenat>,       2024-11-07 15:24:07.657197 

 jaepting,     VoteYea,        <Channel name: kaicenat>,       2024-11-07 15:25:27.604134 
