
 jamel_dontae,     WAKE THEM UPPP,        <Channel name: kaicenat>,       2024-11-07 10:16:06.669032 

 jamel_dontae,     WAKE THEM UP,        <Channel name: kaicenat>,       2024-11-07 10:16:21.429651 

 jamel_dontae,     WAKE THEM UP.\\,        <Channel name: kaicenat>,       2024-11-07 10:16:36.270943 

 jamel_dontae,     ?WAKE THEM UP?,        <Channel name: kaicenat>,       2024-11-07 10:16:47.808318 

 jamel_dontae,     WAKE THEM UP,        <Channel name: kaicenat>,       2024-11-07 10:17:10.257968 

 jamel_dontae,     MILES SHUT UP,        <Channel name: kaicenat>,       2024-11-07 10:17:15.296303 

 jamel_dontae,     MILES SHUT UP BOI,        <Channel name: kaicenat>,       2024-11-07 10:17:29.687321 

 jamel_dontae,     MILES BE TALKIN TO MUCH,        <Channel name: kaicenat>,       2024-11-07 10:17:38.563366 

 jamel_dontae,     MILES BE QUIET,        <Channel name: kaicenat>,       2024-11-07 10:17:45.659397 

 jamel_dontae,     miles stfu up,        <Channel name: kaicenat>,       2024-11-07 10:17:51.806012 

 jamel_dontae,     WAKE THEM UP MILES,        <Channel name: kaicenat>,       2024-11-07 10:17:59.790515 

 jamel_dontae,     MILES SMD,        <Channel name: kaicenat>,       2024-11-07 10:18:07.901935 

 jamel_dontae,     MILES STFU NIKA,        <Channel name: kaicenat>,       2024-11-07 10:18:21.891017 

 jamel_dontae,     MILES SHUT UP,        <Channel name: kaicenat>,       2024-11-07 10:18:55.407866 

 jamel_dontae,     MILES U UGLY ASH,        <Channel name: kaicenat>,       2024-11-07 10:19:07.214996 

 jamel_dontae,     MILES SO UGLY,        <Channel name: kaicenat>,       2024-11-07 10:19:18.622037 

 jamel_dontae,     MILES U UGLY AS SHIT,        <Channel name: kaicenat>,       2024-11-07 10:19:50.125263 

 jamel_dontae,     miles go sleep,        <Channel name: kaicenat>,       2024-11-07 10:21:30.345025 

 jamel_dontae,     miles a pussy boi onb,        <Channel name: kaicenat>,       2024-11-07 10:21:50.602557 

 jamel_dontae,     shut up boi',        <Channel name: kaicenat>,       2024-11-07 10:21:56.498429 

 jamel_dontae,     miles shut up,        <Channel name: kaicenat>,       2024-11-07 10:22:06.015565 

 jamel_dontae,     npc ah nigga,        <Channel name: kaicenat>,       2024-11-07 10:22:12.529180 

 jamel_dontae,     INT TIRED WTF,        <Channel name: kaicenat>,       2024-11-07 11:49:44.569563 

 jamel_dontae,     THIS IS TURTORE,        <Channel name: kaicenat>,       2024-11-07 11:50:27.178352 

 jamel_dontae,     TURTURE,        <Channel name: kaicenat>,       2024-11-07 11:50:44.360504 

 jamel_dontae,     DADDDDY,        <Channel name: kaicenat>,       2024-11-07 11:50:51.895715 

 jamel_dontae,     L,        <Channel name: kaicenat>,       2024-11-07 11:51:03.824130 

 jamel_dontae,     LL,        <Channel name: kaicenat>,       2024-11-07 11:51:05.510138 

 jamel_dontae,     LLLL,        <Channel name: kaicenat>,       2024-11-07 11:51:07.319658 

 jamel_dontae,     LLLLLL,        <Channel name: kaicenat>,       2024-11-07 11:51:09.039356 

 jamel_dontae,     LLLLLLL,        <Channel name: kaicenat>,       2024-11-07 11:51:11.002963 

 jamel_dontae,     LLLL,        <Channel name: kaicenat>,       2024-11-07 11:51:13.967901 

 jamel_dontae,     L,        <Channel name: kaicenat>,       2024-11-07 11:51:17.491076 

 jamel_dontae,     L.,        <Channel name: kaicenat>,       2024-11-07 11:51:20.067174 

 jamel_dontae,     L,        <Channel name: kaicenat>,       2024-11-07 11:51:22.628024 

 jamel_dontae,     STFU!!!!,        <Channel name: kaicenat>,       2024-11-07 12:03:43.097394 

 jamel_dontae,     EAT MY DICK,        <Channel name: kaicenat>,       2024-11-07 12:04:01.673222 

 jamel_dontae,     IM GAY,        <Channel name: kaicenat>,       2024-11-07 12:04:08.175437 

 jamel_dontae,     IMGAY.,        <Channel name: kaicenat>,       2024-11-07 12:04:12.698178 

 jamel_dontae,     CHAT LES SUCK DICK,        <Channel name: kaicenat>,       2024-11-07 12:04:57.049974 

 jamel_dontae,     CHAT LESS SUCK KAI'S DICK,        <Channel name: kaicenat>,       2024-11-07 12:05:09.925664 

 jamel_dontae,     CHAT LES SUCK MILES DICK,        <Channel name: kaicenat>,       2024-11-07 12:05:39.645283 

 jamel_dontae,     CHAT LES SUCK MILES DICK\,        <Channel name: kaicenat>,       2024-11-07 12:05:54.318609 

 jamel_dontae,     IM SO GAY CHAT,        <Channel name: kaicenat>,       2024-11-07 12:06:03.547694 

 jamel_dontae,     IF I WAS A BAD BITCH,        <Channel name: kaicenat>,       2024-11-07 12:06:20.661246 

 jamel_dontae,     i like dick in my booty no cap real gay shit.,        <Channel name: kaicenat>,       2024-11-07 12:06:43.173815 

 jamel_dontae,     #freemyboimiles,        <Channel name: kaicenat>,       2024-11-07 12:08:51.484096 

 jamel_dontae,     #freemyboimiles.,        <Channel name: kaicenat>,       2024-11-07 12:09:01.676923 
