
 jchogogo,     WW Max,        <Channel name: plaqueboymax>,       2024-11-07 01:47:51.942656 

 jchogogo,     NEV4 FELL 4 U,        <Channel name: plaqueboymax>,       2024-11-07 01:48:47.385212 

 jchogogo,     emo,        <Channel name: plaqueboymax>,       2024-11-07 01:49:24.362487 

 jchogogo,     emo GuitarTime,        <Channel name: plaqueboymax>,       2024-11-07 01:49:36.944643 

 jchogogo,     emo RainTime,        <Channel name: plaqueboymax>,       2024-11-07 01:49:54.303911 

 jchogogo,     emo RainTime GuitarTime,        <Channel name: plaqueboymax>,       2024-11-07 01:50:09.536004 

 jchogogo,     emo RainTime GuitarTime emo RainTime GuitarTime,        <Channel name: plaqueboymax>,       2024-11-07 01:50:41.783937 

 jchogogo,     emo RainTime GuitarTime emo RainTime GuitarTime emo RainTime GuitarTime,        <Channel name: plaqueboymax>,       2024-11-07 01:50:56.892727 

 jchogogo,     NEV4 FELL 4 U,        <Channel name: plaqueboymax>,       2024-11-07 01:51:34.869543 

 jchogogo,     NOPERS,        <Channel name: kaicenat>,       2024-11-07 02:05:03.032001 

 jchogogo,     nope,        <Channel name: kaicenat>,       2024-11-07 02:05:09.086080 
