
 jerry257cs2,     belarus,        <Channel name: shadowkekw>,       2024-11-07 10:11:01.994378 

 jerry257cs2,     Spain,        <Channel name: shadowkekw>,       2024-11-07 10:11:18.144009 

 jerry257cs2,     Qatar,        <Channel name: shadowkekw>,       2024-11-07 10:11:41.703171 

 jerry257cs2,     Russia,        <Channel name: shadowkekw>,       2024-11-07 10:11:53.247000 

 jerry257cs2,     Mali,        <Channel name: shadowkekw>,       2024-11-07 10:12:10.742263 

 jerry257cs2,     Nigeria,        <Channel name: shadowkekw>,       2024-11-07 10:12:58.037152 

 jerry257cs2,     Kaku,        <Channel name: shadowkekw>,       2024-11-07 10:13:35.414740 

 jerry257cs2,     Turkey,        <Channel name: shadowkekw>,       2024-11-07 10:13:42.613767 

 jerry257cs2,     Usa,        <Channel name: shadowkekw>,       2024-11-07 10:13:45.418229 

 jerry257cs2,     North korea,        <Channel name: shadowkekw>,       2024-11-07 10:15:11.475411 

 jerry257cs2,     Myanmar,        <Channel name: shadowkekw>,       2024-11-07 10:15:58.450635 

 jerry257cs2,     Bolivia,        <Channel name: shadowkekw>,       2024-11-07 10:16:42.164012 

 jerry257cs2,     Qatar,        <Channel name: shadowkekw>,       2024-11-07 10:17:43.163256 

 jerry257cs2,     Myanmar,        <Channel name: shadowkekw>,       2024-11-07 10:17:46.706341 

 jerry257cs2,     Myanmar,        <Channel name: shadowkekw>,       2024-11-07 10:18:33.236036 

 jerry257cs2,     Iraq,        <Channel name: shadowkekw>,       2024-11-07 10:19:06.894838 

 jerry257cs2,     Iran,        <Channel name: shadowkekw>,       2024-11-07 10:19:09.727500 

 jerry257cs2,     Palestine,        <Channel name: shadowkekw>,       2024-11-07 10:19:12.248279 

 jerry257cs2,     Kenia,        <Channel name: shadowkekw>,       2024-11-07 10:19:15.947073 

 jerry257cs2,     Iraq,        <Channel name: shadowkekw>,       2024-11-07 10:19:35.644946 

 jerry257cs2,     Iran,        <Channel name: shadowkekw>,       2024-11-07 10:19:38.164859 

 jerry257cs2,     Myanmar,        <Channel name: shadowkekw>,       2024-11-07 10:19:53.964804 

 jerry257cs2,     Myanmar,        <Channel name: shadowkekw>,       2024-11-07 10:20:28.544451 

 jerry257cs2,     Vietnam,        <Channel name: shadowkekw>,       2024-11-07 10:21:16.349193 

 jerry257cs2,     Myanmar,        <Channel name: shadowkekw>,       2024-11-07 10:21:26.620970 

 jerry257cs2,     Vietnam,        <Channel name: shadowkekw>,       2024-11-07 10:21:36.651391 

 jerry257cs2,     Myanmar,        <Channel name: shadowkekw>,       2024-11-07 10:21:47.730650 

 jerry257cs2,     Vietnam,        <Channel name: shadowkekw>,       2024-11-07 10:21:51.717623 

 jerry257cs2,     Shri lanak,        <Channel name: shadowkekw>,       2024-11-07 10:22:00.725451 

 jerry257cs2,     Medico,        <Channel name: shadowkekw>,       2024-11-07 10:22:42.076881 

 jerry257cs2,     Myanmar,        <Channel name: shadowkekw>,       2024-11-07 10:22:52.864373 

 jerry257cs2,     New Zealand,        <Channel name: shadowkekw>,       2024-11-07 10:23:07.357358 

 jerry257cs2,     Myanmar,        <Channel name: shadowkekw>,       2024-11-07 10:23:17.366918 

 jerry257cs2,     Svo,        <Channel name: shadowkekw>,       2024-11-07 10:23:25.217004 
