
 joonkit95,     creepy,        <Channel name: cooksux>,       2024-11-07 02:16:01.151345 

 joonkit95,     buy teddy ears,        <Channel name: cooksux>,       2024-11-07 02:18:02.723011 

 joonkit95,     we can see,        <Channel name: cooksux>,       2024-11-07 02:31:27.459472 

 joonkit95,     we can see without light,        <Channel name: cooksux>,       2024-11-07 02:31:39.499786 

 joonkit95,     LUL,        <Channel name: cooksux>,       2024-11-07 02:32:15.758460 

 joonkit95,     EZY,        <Channel name: cooksux>,       2024-11-07 02:33:11.214820 

 joonkit95,     we stuck here forever bois,        <Channel name: cooksux>,       2024-11-07 02:35:06.150913 

 joonkit95,     LUL,        <Channel name: cooksux>,       2024-11-07 02:36:37.289048 

 joonkit95,     !convert 650,        <Channel name: cooksux>,       2024-11-07 02:38:33.627963 

 joonkit95,     3rd floor lets go,        <Channel name: cooksux>,       2024-11-07 02:42:00.846931 

 joonkit95,     POGGERS,        <Channel name: cooksux>,       2024-11-07 02:42:32.581257 

 joonkit95,     WTF,        <Channel name: cooksux>,       2024-11-07 02:46:05.743521 

 joonkit95,     POGGER,        <Channel name: cooksux>,       2024-11-07 02:46:07.794135 

 joonkit95,     so we gonna see Cook eat Churros Kappa,        <Channel name: cooksux>,       2024-11-07 02:46:31.124798 

 joonkit95,     holy that's high,        <Channel name: cooksux>,       2024-11-07 02:48:20.149579 
