
 jordan_sweat11,     I can’t believe I’m spidermannnn,        <Channel name: kaicenat>,       2024-11-07 09:01:24.087918 

 jordan_sweat11,     waterrrr,        <Channel name: kaicenat>,       2024-11-07 11:38:44.074632 

 jordan_sweat11,     gooodmorning kaiii,        <Channel name: kaicenat>,       2024-11-07 11:52:49.729192 

 jordan_sweat11,     goodmorningg,        <Channel name: kaicenat>,       2024-11-07 11:52:58.523171 

 jordan_sweat11,     brush them teeth,        <Channel name: kaicenat>,       2024-11-07 11:53:09.436127 

 jordan_sweat11,     watereeee,        <Channel name: kaicenat>,       2024-11-07 12:56:19.897918 

 jordan_sweat11,     waterrrrrr rakaiiiii,        <Channel name: kaicenat>,       2024-11-07 12:56:36.898955 

 jordan_sweat11,     pour wayeeerrr,        <Channel name: kaicenat>,       2024-11-07 12:56:52.172254 

 jordan_sweat11,     wateerr,        <Channel name: kaicenat>,       2024-11-07 12:57:34.274260 

 jordan_sweat11,     100 gifted,        <Channel name: kaicenat>,       2024-11-07 12:57:59.533510 
