
 joxi5325,     NIGA A FREAK NIGA A FREAK,        <Channel name: kaicenat>,       2024-11-07 11:23:50.710482 

 joxi5325,     NIGA A FREAK NIGA A FREAK.,        <Channel name: kaicenat>,       2024-11-07 11:23:51.459341 

 joxi5325,     NIGA A FREAK NIGA A FREAK,        <Channel name: kaicenat>,       2024-11-07 11:23:52.521355 

 joxi5325,     NIGA A FREAK NIGA A FREAK.,        <Channel name: kaicenat>,       2024-11-07 11:23:55.672366 

 joxi5325,     NIGA A FREAK NIGA A FREAK,        <Channel name: kaicenat>,       2024-11-07 11:24:00.195903 

 joxi5325,     NIGA A FREAK NIGA A FREAK.,        <Channel name: kaicenat>,       2024-11-07 11:24:01.046034 

 joxi5325,     NIGA A FREAK NIGA A FREAK,        <Channel name: kaicenat>,       2024-11-07 11:24:02.192420 

 joxi5325,     DID NIGA FART????,        <Channel name: kaicenat>,       2024-11-07 11:25:38.921973 

 joxi5325,     DID NIGA FART????.,        <Channel name: kaicenat>,       2024-11-07 11:25:41.659155 

 joxi5325,     DID NIGA FART????,        <Channel name: kaicenat>,       2024-11-07 11:25:43.208013 

 joxi5325,     DID NIGA FART????.,        <Channel name: kaicenat>,       2024-11-07 11:25:44.707087 

 joxi5325,     DID NIGA FART????,        <Channel name: kaicenat>,       2024-11-07 11:25:46.178802 

 joxi5325,     DID NIGA FART????.,        <Channel name: kaicenat>,       2024-11-07 11:25:48.129759 

 joxi5325,     DID NIGA FART????,        <Channel name: kaicenat>,       2024-11-07 11:25:49.630930 

 joxi5325,     DID NIGA FART????.,        <Channel name: kaicenat>,       2024-11-07 11:25:51.121204 

 joxi5325,     DID NIGA FART????,        <Channel name: kaicenat>,       2024-11-07 11:25:53.128391 

 joxi5325,     DID NIGA FART????.,        <Channel name: kaicenat>,       2024-11-07 11:25:53.967810 

 joxi5325,     DID NIGA FART????,        <Channel name: kaicenat>,       2024-11-07 11:25:54.570642 

 joxi5325,     DID NIGA FART????.,        <Channel name: kaicenat>,       2024-11-07 11:25:56.052064 

 joxi5325,     DID NIGA FART????,        <Channel name: kaicenat>,       2024-11-07 11:25:57.451059 

 joxi5325,     DID NIGA FART????.,        <Channel name: kaicenat>,       2024-11-07 11:25:59.332717 
