
 k_u_p,     Gm kaicWAVE <3,        <Channel name: kaicenat>,       2024-11-07 11:38:38.204668 

 k_u_p,     kaicBed <3,        <Channel name: kaicenat>,       2024-11-07 12:19:46.152681 

 k_u_p,     Bless kaicBed <3,        <Channel name: kaicenat>,       2024-11-07 12:21:55.106199 

 k_u_p,     152 oo nahh kaicCryy <3,        <Channel name: kaicenat>,       2024-11-07 12:24:36.492474 

 k_u_p,     Kool Chris tha why it here kaicBed <3,        <Channel name: kaicenat>,       2024-11-07 12:26:13.874788 

 k_u_p,     -10m ascii buddy w art tho kaicNOTE <3,        <Channel name: kaicenat>,       2024-11-07 12:28:50.564411 

 k_u_p,     How many sitting on a resub kaicNOTE <3,        <Channel name: kaicenat>,       2024-11-07 12:34:19.508523 

 k_u_p,     W kaicBed <3,        <Channel name: kaicenat>,       2024-11-07 12:48:21.025010 

 k_u_p,     Nahh you,        <Channel name: kaicenat>,       2024-11-07 13:16:05.825187 

 k_u_p,     Cuz your idea,        <Channel name: kaicenat>,       2024-11-07 13:17:58.615733 

 k_u_p,     kaicBed <3,        <Channel name: kaicenat>,       2024-11-07 13:30:00.915706 
