
 kaiserin444,     split or steal,        <Channel name: kaicenat>,       2024-11-07 01:23:06.679608 

 kaiserin444,     ABUHHHH,        <Channel name: kaicenat>,       2024-11-07 01:50:08.055500 

 kaiserin444,     oh,        <Channel name: kaicenat>,       2024-11-07 02:14:21.290052 

 kaiserin444,     dont leak,        <Channel name: kaicenat>,       2024-11-07 02:16:53.238168 

 kaiserin444,     dint leak lol,        <Channel name: kaicenat>,       2024-11-07 02:16:57.201193 

 kaiserin444,     dont leak!!!,        <Channel name: kaicenat>,       2024-11-07 02:17:00.950105 

 kaiserin444,     dont leakkk,        <Channel name: kaicenat>,       2024-11-07 02:17:06.382867 

 kaiserin444,     dont leakkkk,        <Channel name: kaicenat>,       2024-11-07 02:17:11.370118 

 kaiserin444,     dont leak,        <Channel name: kaicenat>,       2024-11-07 02:17:25.155104 

 kaiserin444,     u hollywood and a sellout basically,        <Channel name: kaicenat>,       2024-11-07 02:24:43.727704 

 kaiserin444,     he right,        <Channel name: kaicenat>,       2024-11-07 02:25:05.274218 

 kaiserin444,     nah he right,        <Channel name: kaicenat>,       2024-11-07 02:25:09.395748 

 kaiserin444,     lol,        <Channel name: kaicenat>,       2024-11-07 02:26:47.880727 
