
 kaylanial,     Norway,        <Channel name: shadowkekw>,       2024-11-07 10:08:26.149696 

 kaylanial,     Norway,        <Channel name: shadowkekw>,       2024-11-07 10:09:20.859335 

 kaylanial,     Norway,        <Channel name: shadowkekw>,       2024-11-07 10:10:07.229091 

 kaylanial,     Norway,        <Channel name: shadowkekw>,       2024-11-07 10:11:15.645672 

 kaylanial,     Norway,        <Channel name: shadowkekw>,       2024-11-07 10:11:48.838201 

 kaylanial,     Norway,        <Channel name: shadowkekw>,       2024-11-07 10:12:34.916286 

 kaylanial,     USA,        <Channel name: shadowkekw>,       2024-11-07 10:14:03.926647 

 kaylanial,     Norway,        <Channel name: shadowkekw>,       2024-11-07 10:18:40.649853 

 kaylanial,     lu,        <Channel name: shadowkekw>,       2024-11-07 10:49:11.197331 

 kaylanial,     lu,        <Channel name: shadowkekw>,       2024-11-07 10:50:03.530048 

 kaylanial,     lu,        <Channel name: shadowkekw>,       2024-11-07 11:03:27.695966 

 kaylanial,     lu,        <Channel name: shadowkekw>,       2024-11-07 11:05:27.719372 

 kaylanial,     <3 WW,        <Channel name: shadowkekw>,       2024-11-07 11:57:25.356825 
