
 kiingrez,     yuuurrrrr,        <Channel name: kaicenat>,       2024-11-07 11:01:27.580697 

 kiingrez,     You tired yet,        <Channel name: kaicenat>,       2024-11-07 11:01:58.162894 

 kiingrez,     We saw that STUTTER,        <Channel name: kaicenat>,       2024-11-07 11:04:15.186103 

 kiingrez,     gang?,        <Channel name: kaicenat>,       2024-11-07 11:05:53.435091 

 kiingrez,     og,        <Channel name: kaicenat>,       2024-11-07 11:15:05.080463 

 kiingrez,     yurrrrr,        <Channel name: kaicenat>,       2024-11-07 11:16:41.851436 

 kiingrez,     def,        <Channel name: kaicenat>,       2024-11-07 11:17:14.231442 

 kiingrez,     did I get it?,        <Channel name: kaicenat>,       2024-11-07 11:20:35.158590 

 kiingrez,     nope lol,        <Channel name: kaicenat>,       2024-11-07 11:20:40.500614 

 kiingrez,     WATER LIL BRU,        <Channel name: kaicenat>,       2024-11-07 11:23:22.468073 
