
 knoffik,     and,        <Channel name: shadowkekw>,       2024-11-07 09:06:59.277929 

 knoffik,     WW,        <Channel name: shadowkekw>,       2024-11-07 09:09:09.156690 

 knoffik,     PEru,        <Channel name: shadowkekw>,       2024-11-07 10:15:19.463648 

 knoffik,     Siria,        <Channel name: shadowkekw>,       2024-11-07 10:16:27.459542 

 knoffik,     Turkey,        <Channel name: shadowkekw>,       2024-11-07 10:16:52.384132 

 knoffik,     US,        <Channel name: shadowkekw>,       2024-11-07 10:23:47.810486 

 knoffik,     Vietnam,        <Channel name: shadowkekw>,       2024-11-07 10:23:59.345502 

 knoffik,     Croatia,        <Channel name: shadowkekw>,       2024-11-07 10:25:30.532041 

 knoffik,     Cyprus,        <Channel name: shadowkekw>,       2024-11-07 10:25:36.555975 

 knoffik,     Chile,        <Channel name: shadowkekw>,       2024-11-07 10:25:51.017097 

 knoffik,     Finland,        <Channel name: shadowkekw>,       2024-11-07 10:26:06.365765 

 knoffik,     Ghana,        <Channel name: shadowkekw>,       2024-11-07 10:26:22.769846 

 knoffik,     Finland,        <Channel name: shadowkekw>,       2024-11-07 10:27:00.887937 

 knoffik,     Latvia,        <Channel name: shadowkekw>,       2024-11-07 10:27:38.522452 

 knoffik,     Mexico,        <Channel name: shadowkekw>,       2024-11-07 10:28:00.922883 

 knoffik,     Mexico,        <Channel name: shadowkekw>,       2024-11-07 10:28:39.859194 

 knoffik,     Luxembourg,        <Channel name: shadowkekw>,       2024-11-07 10:28:47.290530 

 knoffik,     Kenya,        <Channel name: shadowkekw>,       2024-11-07 10:28:55.702302 

 knoffik,     Latvia,        <Channel name: shadowkekw>,       2024-11-07 10:29:04.299104 

 knoffik,     Siria,        <Channel name: shadowkekw>,       2024-11-07 10:29:10.617305 

 knoffik,     Th,        <Channel name: shadowkekw>,       2024-11-07 10:29:28.079865 

 knoffik,     Siria,        <Channel name: shadowkekw>,       2024-11-07 10:29:31.736459 

 knoffik,     Mexico,        <Channel name: shadowkekw>,       2024-11-07 10:29:44.536111 

 knoffik,     Latvia,        <Channel name: shadowkekw>,       2024-11-07 10:29:48.567037 

 knoffik,     Mexico,        <Channel name: shadowkekw>,       2024-11-07 10:30:18.458066 

 knoffik,     Jp,        <Channel name: shadowkekw>,       2024-11-07 10:30:22.688372 

 knoffik,     Italy,        <Channel name: shadowkekw>,       2024-11-07 10:31:34.473793 

 knoffik,     ac,        <Channel name: shadowkekw>,       2024-11-07 10:34:29.436917 

 knoffik,     Ph,        <Channel name: shadowkekw>,       2024-11-07 10:35:18.636579 

 knoffik,     Chad,        <Channel name: shadowkekw>,       2024-11-07 10:35:36.543847 

 knoffik,     jp,        <Channel name: shadowkekw>,       2024-11-07 10:35:59.893173 

 knoffik,     us,        <Channel name: shadowkekw>,       2024-11-07 10:36:18.209512 

 knoffik,     us,        <Channel name: shadowkekw>,       2024-11-07 10:37:15.690941 

 knoffik,     sw,        <Channel name: shadowkekw>,       2024-11-07 10:37:44.885522 

 knoffik,     Iraq,        <Channel name: shadowkekw>,       2024-11-07 10:38:04.574048 

 knoffik,     ri,        <Channel name: shadowkekw>,       2024-11-07 10:38:23.966572 

 knoffik,     bg,        <Channel name: shadowkekw>,       2024-11-07 10:38:47.612227 

 knoffik,     us,        <Channel name: shadowkekw>,       2024-11-07 10:39:44.105110 

 knoffik,     Vt,        <Channel name: shadowkekw>,       2024-11-07 10:40:28.723588 

 knoffik,     us,        <Channel name: shadowkekw>,       2024-11-07 10:40:40.014545 

 knoffik,     au,        <Channel name: shadowkekw>,       2024-11-07 10:40:41.601880 

 knoffik,     bg,        <Channel name: shadowkekw>,       2024-11-07 10:40:47.403323 

 knoffik,     vietnam,        <Channel name: shadowkekw>,       2024-11-07 10:41:05.172368 

 knoffik,     th,        <Channel name: shadowkekw>,       2024-11-07 10:41:25.744823 

 knoffik,     us,        <Channel name: shadowkekw>,       2024-11-07 10:42:21.318252 

 knoffik,     ph,        <Channel name: shadowkekw>,       2024-11-07 10:42:58.219734 

 knoffik,     sz,        <Channel name: shadowkekw>,       2024-11-07 10:43:29.110304 

 knoffik,     leron,        <Channel name: shadowkekw>,       2024-11-07 10:43:48.710896 

 knoffik,     kr,        <Channel name: shadowkekw>,       2024-11-07 10:44:30.271024 

 knoffik,     fr,        <Channel name: shadowkekw>,       2024-11-07 10:45:27.852620 

 knoffik,     vietnam,        <Channel name: shadowkekw>,       2024-11-07 10:45:34.411774 

 knoffik,     us,        <Channel name: shadowkekw>,       2024-11-07 10:45:47.126735 

 knoffik,     thai,        <Channel name: shadowkekw>,       2024-11-07 10:45:51.239743 

 knoffik,     o,        <Channel name: shadowkekw>,       2024-11-07 10:45:58.014895 

 knoffik,     )),        <Channel name: shadowkekw>,       2024-11-07 10:45:58.915670 

 knoffik,     sz,        <Channel name: shadowkekw>,       2024-11-07 10:46:05.419952 

 knoffik,     is,        <Channel name: shadowkekw>,       2024-11-07 10:47:02.366876 

 knoffik,     us,        <Channel name: shadowkekw>,       2024-11-07 10:47:04.072986 

 knoffik,     ie,        <Channel name: shadowkekw>,       2024-11-07 10:47:09.785841 

 knoffik,     om,        <Channel name: shadowkekw>,       2024-11-07 10:49:08.662046 

 knoffik,     us,        <Channel name: shadowkekw>,       2024-11-07 10:49:12.614179 

 knoffik,     germany,        <Channel name: shadowkekw>,       2024-11-07 10:49:17.962425 

 knoffik,     gr,        <Channel name: shadowkekw>,       2024-11-07 10:49:40.014848 

 knoffik,     ph,        <Channel name: shadowkekw>,       2024-11-07 10:49:48.566448 

 knoffik,     om,        <Channel name: shadowkekw>,       2024-11-07 10:49:51.855041 

 knoffik,     au,        <Channel name: shadowkekw>,       2024-11-07 10:49:55.509071 

 knoffik,     ae,        <Channel name: shadowkekw>,       2024-11-07 10:49:58.327698 

 knoffik,     jp,        <Channel name: shadowkekw>,       2024-11-07 10:50:02.857193 

 knoffik,     vietnam,        <Channel name: shadowkekw>,       2024-11-07 10:50:06.754535 

 knoffik,     taiwan,        <Channel name: shadowkekw>,       2024-11-07 10:50:13.012004 

 knoffik,     india,        <Channel name: shadowkekw>,       2024-11-07 10:50:17.778798 

 knoffik,     kr,        <Channel name: shadowkekw>,       2024-11-07 10:50:52.012048 

 knoffik,     sw,        <Channel name: shadowkekw>,       2024-11-07 10:51:18.713501 

 knoffik,     ph,        <Channel name: shadowkekw>,       2024-11-07 10:51:23.129216 

 knoffik,     us,        <Channel name: shadowkekw>,       2024-11-07 10:51:35.270736 

 knoffik,     gr,        <Channel name: shadowkekw>,       2024-11-07 10:51:40.747831 

 knoffik,     ae,        <Channel name: shadowkekw>,       2024-11-07 10:51:49.042184 

 knoffik,     au,        <Channel name: shadowkekw>,       2024-11-07 10:51:51.387972 

 knoffik,     kr,        <Channel name: shadowkekw>,       2024-11-07 10:52:06.199711 

 knoffik,     vietnam,        <Channel name: shadowkekw>,       2024-11-07 10:52:12.599300 

 knoffik,     sz,        <Channel name: shadowkekw>,       2024-11-07 10:52:47.454954 

 knoffik,     us,        <Channel name: shadowkekw>,       2024-11-07 10:52:59.337276 

 knoffik,     co,        <Channel name: shadowkekw>,       2024-11-07 10:53:00.412159 

 knoffik,     do,        <Channel name: shadowkekw>,       2024-11-07 10:53:02.997671 

 knoffik,     eu,        <Channel name: shadowkekw>,       2024-11-07 10:53:43.838746 

 knoffik,     kr,        <Channel name: shadowkekw>,       2024-11-07 10:54:17.803759 

 knoffik,     us,        <Channel name: shadowkekw>,       2024-11-07 10:54:51.363024 

 knoffik,     pl,        <Channel name: shadowkekw>,       2024-11-07 10:55:01.909613 

 knoffik,     br,        <Channel name: shadowkekw>,       2024-11-07 10:55:05.500551 

 knoffik,     sz,        <Channel name: shadowkekw>,       2024-11-07 10:55:19.431346 

 knoffik,     us,        <Channel name: shadowkekw>,       2024-11-07 10:55:32.944571 

 knoffik,     sz,        <Channel name: shadowkekw>,       2024-11-07 10:55:37.297231 

 knoffik,     us,        <Channel name: shadowkekw>,       2024-11-07 10:55:54.726452 

 knoffik,     ph,        <Channel name: shadowkekw>,       2024-11-07 10:55:56.106887 

 knoffik,     kr,        <Channel name: shadowkekw>,       2024-11-07 10:55:58.425253 

 knoffik,     vietnam,        <Channel name: shadowkekw>,       2024-11-07 10:56:09.410862 

 knoffik,     us,        <Channel name: shadowkekw>,       2024-11-07 10:56:21.643766 

 knoffik,     sz,        <Channel name: shadowkekw>,       2024-11-07 10:56:47.792743 

 knoffik,     ae,        <Channel name: shadowkekw>,       2024-11-07 10:56:49.520364 

 knoffik,     om,        <Channel name: shadowkekw>,       2024-11-07 10:56:52.365410 

 knoffik,     sz,        <Channel name: shadowkekw>,       2024-11-07 10:57:09.922133 

 knoffik,     sp,        <Channel name: shadowkekw>,       2024-11-07 10:57:12.660064 

 knoffik,     cz,        <Channel name: shadowkekw>,       2024-11-07 10:57:15.855438 

 knoffik,     fn,        <Channel name: shadowkekw>,       2024-11-07 10:57:20.381098 

 knoffik,     co,        <Channel name: shadowkekw>,       2024-11-07 10:57:24.498388 

