
 krissyminaj,     I’d be so irritable and sleepyyyy,        <Channel name: ibabyrainbow>,       2024-11-07 01:55:52.160127 

 krissyminaj,     @elscorcho___ you also smell like shet,        <Channel name: ibabyrainbow>,       2024-11-07 02:00:18.936077 

 krissyminaj,     I’d pay anything  to sleep after driving 14 hours if I had to,        <Channel name: ibabyrainbow>,       2024-11-07 02:03:56.494327 

 krissyminaj,     there’s no other option anyway ibabyCry,        <Channel name: ibabyrainbow>,       2024-11-07 02:04:18.220256 

 krissyminaj,     @chrisjc77 ikr,        <Channel name: ibabyrainbow>,       2024-11-07 02:06:51.044449 

 krissyminaj,     you woulda left with STDs,        <Channel name: ibabyrainbow>,       2024-11-07 02:07:23.110787 

 krissyminaj,     mine sucks ass,        <Channel name: ibabyrainbow>,       2024-11-07 02:08:35.726769 

 krissyminaj,     lmao,        <Channel name: ibabyrainbow>,       2024-11-07 02:10:54.079920 

 krissyminaj,     GOOD NIGHT!!! sleep tight!,        <Channel name: ibabyrainbow>,       2024-11-07 02:16:12.807796 

 krissyminaj,     bye alll,        <Channel name: ibabyrainbow>,       2024-11-07 02:16:22.214946 

 krissyminaj,     @shadowlovesme_ krissy53Funny krissy53Funny,        <Channel name: ibabyrainbow>,       2024-11-07 13:10:27.822377 

 krissyminaj,     krissy53Funny krissy53Funny,        <Channel name: ibabyrainbow>,       2024-11-07 13:35:27.234790 

 krissyminaj,     ibabyDance ibabyDance,        <Channel name: ibabyrainbow>,       2024-11-07 13:35:35.600002 

 krissyminaj,     pooping,        <Channel name: ibabyrainbow>,       2024-11-07 13:36:10.917287 

 krissyminaj,     aws alien,        <Channel name: ibabyrainbow>,       2024-11-07 13:36:39.041628 
