
 kyuhakxx,     KEKW,        <Channel name: cooksux>,       2024-11-07 02:31:38.409571 

 kyuhakxx,     ICANT,        <Channel name: cooksux>,       2024-11-07 02:32:02.496554 

 kyuhakxx,     KEKL,        <Channel name: cooksux>,       2024-11-07 02:34:34.513465 

 kyuhakxx,     POG,        <Channel name: cooksux>,       2024-11-07 02:40:21.764007 

 kyuhakxx,     PogU,        <Channel name: cooksux>,       2024-11-07 02:41:41.091356 

 kyuhakxx,     POG,        <Channel name: cooksux>,       2024-11-07 02:42:17.069402 

 kyuhakxx,     POGGERS,        <Channel name: cooksux>,       2024-11-07 02:45:13.207526 

 kyuhakxx,     POG,        <Channel name: cooksux>,       2024-11-07 02:45:51.698409 

 kyuhakxx,     pogg,        <Channel name: cooksux>,       2024-11-07 02:46:12.051428 

 kyuhakxx,     lookUp,        <Channel name: cooksux>,       2024-11-07 02:46:16.112787 

 kyuhakxx,     lol,        <Channel name: cooksux>,       2024-11-07 02:48:29.664687 

 kyuhakxx,     HYPERS,        <Channel name: cooksux>,       2024-11-07 02:49:08.199558 

 kyuhakxx,     HUH,        <Channel name: cooksux>,       2024-11-07 02:49:19.138349 

 kyuhakxx,     BillyApprove,        <Channel name: cooksux>,       2024-11-07 02:50:12.118699 

 kyuhakxx,     GaygeUp,        <Channel name: cooksux>,       2024-11-07 02:50:34.443640 

 kyuhakxx,     EWWW,        <Channel name: cooksux>,       2024-11-07 02:50:46.257385 

 kyuhakxx,     COGGERS,        <Channel name: cooksux>,       2024-11-07 02:51:04.053967 

 kyuhakxx,     o7,        <Channel name: cooksux>,       2024-11-07 02:51:35.410045 

 kyuhakxx,     frenn,        <Channel name: cooksux>,       2024-11-07 02:51:48.354889 

 kyuhakxx,     Stronge,        <Channel name: cooksux>,       2024-11-07 02:52:15.025317 

 kyuhakxx,     sadKEK,        <Channel name: cooksux>,       2024-11-07 02:52:37.183911 
