
 lakesiiide,     anybody know if he announced any dates for the goals yet ?,        <Channel name: nadeshot>,       2024-11-07 09:35:50.364817 

 lakesiiide,     I need to see the earthquake,        <Channel name: kaicenat>,       2024-11-07 09:37:49.971055 

 lakesiiide,     100 gifted,        <Channel name: kaicenat>,       2024-11-07 09:38:05.144515 

 lakesiiide,     nothing for 100 gifted,        <Channel name: kaicenat>,       2024-11-07 09:39:44.609553 

 lakesiiide,     2 horns,        <Channel name: kaicenat>,       2024-11-07 09:40:59.316035 

 lakesiiide,     kaicSturdyy kaicSturdyy kaicSturdyy kaicSturdyy kaicSturdyy kaicSturdyy kaicSturdyy,        <Channel name: nadeshot>,       2024-11-07 12:24:29.524193 

 lakesiiide,     kaicNaenae kaicNaenae kaicNaenae kaicNaenae kaicNaenae kaicNaenae kaicNaenae,        <Channel name: nadeshot>,       2024-11-07 12:24:36.734830 

 lakesiiide,     kaicGimmiegold kaicGimmiegold kaicGimmiegold kaicGimmiegold kaicGimmiegold kaicGimmiegold,        <Channel name: nadeshot>,       2024-11-07 12:24:44.860551 

 lakesiiide,     kaicGimmiegold kaicGimmiegold kaicGimmiegold kaicGimmiegold kaicGimmiegold,        <Channel name: nadeshot>,       2024-11-07 12:24:51.775476 

 lakesiiide,     kaicGimmiegold kaicGimmiegold kaicGimmiegold kaicGimmiegold,        <Channel name: nadeshot>,       2024-11-07 12:24:59.211897 

 lakesiiide,     kaicSturdyy kaicSturdyy kaicSturdyy kaicSturdyy kaicSturdyy kaicSturdyy,        <Channel name: nadeshot>,       2024-11-07 12:25:05.100649 

 lakesiiide,     kaicNaenae kaicNaenae kaicNaenae kaicNaenae kaicNaenae kaicNaenae kaicNaenae,        <Channel name: nadeshot>,       2024-11-07 12:25:16.411573 

 lakesiiide,     kaicNaenae kaicNaenae kaicNaenae kaicNaenae kaicNaenae kaicNaenae,        <Channel name: nadeshot>,       2024-11-07 12:26:38.907629 

 lakesiiide,     kaicSturdyy kaicSturdyy kaicSturdyy kaicSturdyy kaicSturdyy kaicSturdyy kaicSturdyy kaicSturdyy,        <Channel name: nadeshot>,       2024-11-07 12:27:10.858630 

 lakesiiide,     w wife w life,        <Channel name: nadeshot>,       2024-11-07 12:28:30.197618 

 lakesiiide,     next song,        <Channel name: nadeshot>,       2024-11-07 12:29:53.428636 

 lakesiiide,     skip song,        <Channel name: nadeshot>,       2024-11-07 12:30:06.344035 

 lakesiiide,     is the is the subathon capped ?,        <Channel name: nadeshot>,       2024-11-07 12:32:03.825940 

 lakesiiide,     yes,        <Channel name: nadeshot>,       2024-11-07 12:35:37.687794 

 lakesiiide,     poll,        <Channel name: nadeshot>,       2024-11-07 12:35:59.376799 

 lakesiiide,     do a poll,        <Channel name: nadeshot>,       2024-11-07 12:36:12.402641 
